lesson title,box title,suggested treatment
Work With AI Opener,What Makes AI Use Good?,Opener utility — keep the existing creed treatment; no Editorial Explainer conversion.
Work With AI Opener,Same Tool. Different Results.,"Full-Length Teaching Illustration — keep; the identical-phone photography comparison makes the section premise visible. Place it inside the standard shell, keep the board title out of the generated art, and use the approved realistic Nate and Luke likeness."
Work With AI Opener,Work With AI: In This Section,Opener utility — keep the standardized three-row section-map treatment unchanged.
AI Is Different,Rules Look Like This,Editorial Shell: Worked Example — preserve the IF → THEN → ELSE password example as exact evidence. Use one white teaching surface inside the standard lavender shell; remove the box-in-a-box treatment and add a normal board title.
AI Is Different,Learn Once. Answer Every Word.,"Editorial Explainer: Flow — show Training → Patterns → Probability → Prediction as one left-to-right sequence, while visually grouping the first two as Learn Once and the last two as Every Word."
AI Is Different,Fixed Rules vs. Built From Patterns,"Editorial Shell: Structured Comparison — preserve the shared PS5 question, the fixed software answer, and the three different AI answers. The response evidence is the teaching point, so use a two-column comparison rather than reducing it to two generic cards."
AI Is Different,Rules vs. Patterns,"Full-Length Teaching Illustration — keep; the rigid IF/THEN machine versus learned pattern network explains the mechanism. Rebuild in the standard shell, keep only functional labels inside the scene, and update Nate and Luke to the approved realistic likeness."
AI Is Different,Normal Software vs. AI Software,"Editorial Shell: Structured Comparison — preserve the three aligned rows for Input, Output, and When Wrong. Use one white comparison sheet with blue and purple columns; do not force the row evidence into independent full-bleed cards."
AI Is Different,AI’s Kryptonite,"Editorial Explainer: Three-Card Full-Bleed — Scams That Scale, Deepfakes of Real People, and Confident but Wrong are three parallel consequences. Create purpose-built 16:9 graphics and retain the trained-behavior conclusion in the gold band."
AI Is Different,Which One Handles This Better?,Keep as a page-native TRY IT; exclude from the board retrofit.
Where AI Works Best,Code A+. Lesson Draft C-.,"Full-Length Teaching Illustration — keep; the same tool succeeding at patterned code and struggling with lesson judgment establishes the lesson’s core distinction. Apply the standard shell, keep labels deterministic, and use the approved Nate and Luke likeness."
Where AI Works Best,Patterned Transformation,Editorial Shell: Strength Profile — keep as the first of four coordinated individual boards. Preserve the mechanism and examples; a single four-card summary would lose the explanation that drives the learning.
Where AI Works Best,Generative Variation,"Editorial Shell: Strength Profile — keep as the second coordinated individual board. Preserve the mechanism and examples, and lock its title, teaching-sheet geometry, type, and takeaway placement to the other three strength boards."
Where AI Works Best,Semantic Compression and Retrieval,Editorial Shell: Strength Profile — keep as the third coordinated individual board. Preserve the mechanism and examples rather than shortening the idea to fit a standard card grid.
Where AI Works Best,Structured Reasoning and Synthesis,Editorial Shell: Strength Profile — keep as the fourth coordinated individual board. Preserve the mechanism and examples and close the sequence with the same visual structure used by the first three.
Where AI Works Best,Does This Match an AI Strength?,Keep as a page-native TRY IT; exclude from the board retrofit.
