clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0163.34-breath_or_room_sound.wav,163.34,163.6,0.2599999999999909,"evidence,",the,-14.381909366605704,1.2996177673339844,0.16,BREATH_OR_ROOM_SOUND,
02-0058.62-breath_or_room_sound.wav,58.62,58.9,0.28000000000000114,"headline,",Slim,-18.032611941045204,0.7996034622192383,0.19,BREATH_OR_ROOM_SOUND,
03-0173.76-breath_or_room_sound.wav,173.76,174.54,0.7800000000000011,more.,These,-20.137445250416874,1.0697557926177979,0.27,BREATH_OR_ROOM_SOUND,
04-0160.44-breath_or_room_sound.wav,160.44,161.14,0.6999999999999886,convinced?,Determine,-19.402016517361723,0.6789321303367615,0.12,BREATH_OR_ROOM_SOUND,
05-0027.94-breath_or_room_sound.wav,27.94,28.12,0.17999999999999972,"evidence,",and,-20.07060376929775,0.5432920455932617,0.12,BREATH_OR_ROOM_SOUND,
06-0026.56-breath_or_room_sound.wav,26.56,27.0,0.4400000000000013,"claim,",examine,-21.182800941624905,0.2283899188041687,0.12,BREATH_OR_ROOM_SOUND,
07-0157.66-breath_or_room_sound.wav,157.66,158.38,0.7199999999999989,explanations.,Habit,-22.063105238329914,1.1603667736053467,0.16,BREATH_OR_ROOM_SOUND,
08-0126.76-breath_or_room_sound.wav,126.76,127.7,0.9399999999999977,bias.,This,-25.3231064354471,0.8063439726829529,0.3,BREATH_OR_ROOM_SOUND,
09-0073.34-breath_or_room_sound.wav,73.34,73.78,0.4399999999999977,"pause,",especially,-22.840155019009927,0.6634616851806641,0.11,BREATH_OR_ROOM_SOUND,
10-0109.14-breath_or_room_sound.wav,109.14,109.74,0.5999999999999943,journalist.,He,-22.464246400544727,0.4539337456226349,0.09,BREATH_OR_ROOM_SOUND,
11-0049.00-breath_or_room_sound.wav,49.0,49.56,0.5600000000000023,"2015,",news,-14.769860211501282,0.08863714337348938,0.26,BREATH_OR_ROOM_SOUND,
12-0188.72-blip_candidate.wav,188.72,189.32,0.5999999999999943,happening.,AI,-22.338853315878367,0.27205467224121094,0.07,BLIP_CANDIDATE,
13-0091.36-breath_or_room_sound.wav,91.36,91.78,0.4200000000000017,"participants,",but,-22.960504466271587,1.0323576927185059,0.09,BREATH_OR_ROOM_SOUND,
14-0062.64-breath_or_room_sound.wav,62.64,63.2,0.5600000000000023,immediate.,Sounds,-23.81630289924599,1.011920690536499,0.12,BREATH_OR_ROOM_SOUND,
15-0037.82-breath_or_room_sound.wav,37.82,38.46,0.6400000000000006,decisions.,Be,-24.163843310230774,0.8140326142311096,0.13,BREATH_OR_ROOM_SOUND,
16-0192.72-breath_or_room_sound.wav,192.72,193.08,0.36000000000001364,"in,",sharper,-23.87697925029082,0.42841649055480957,0.11,BREATH_OR_ROOM_SOUND,
17-0034.54-breath_or_room_sound.wav,34.54,34.96,0.4200000000000017,"halves,",the,-24.580346761274235,0.5630402565002441,0.11,BREATH_OR_ROOM_SOUND,
18-0011.46-breath_or_room_sound.wav,11.46,12.14,0.6799999999999997,results.,Look,-26.07035373352149,0.5077589154243469,0.14,BREATH_OR_ROOM_SOUND,
19-0181.70-blip_candidate.wav,181.7,182.34,0.6400000000000148,intelligence.,AI,-24.968314506256114,0.6668142080307007,0.07,BLIP_CANDIDATE,
20-0131.38-blip_candidate.wav,131.38,132.02,0.6400000000000148,thinking.,Every,-24.793626578316335,0.2237110286951065,0.06,BLIP_CANDIDATE,
