   0.00-   7.30  Defending yourself against misinformation depends on how you react in the first 10 seconds after a realistic clip hits your feet.
   8.00-  13.16  Everyone knows AI can fake reality, but very few people have a practiced routine for handling it.
  13.62-  18.82  Imagine a friend sends you a video of your principal announcing that school is closed for the entire next week.
  19.36-  22.54  In the past, you would evaluate this by studying the video for errors.
  23.28-  27.14  You would check the principal's face for glitches, listen for inconsistencies in their voice,
  27.14-  29.96  and look at the background to see if it matches the school hallway.
  30.60-  32.02  Today, that method is unreliable.
  32.94-  35.80  You must ignore the pixels and instead follow the digital trail.
  36.34-  39.44  You check the official school website to see if the announcement exists there.
  39.94-  42.58  If the official record shows nothing, the claim remains unverified.
  43.52-  48.88  The fake trap occurs when you accept media as true because the visuals and audio match your expectations of reality.
  49.72-  51.12  The trap also has a second jaw.
  51.58-  55.00  You fall for it if you dismiss a proven fact as AI,
  55.00-  58.32  simply because the information is surprising or inconvenient.
  59.86-  64.64  Some fakes function as harmless jokes, where every viewer understands the images and invention.
  65.40-  70.32  If a friend shares a picture of your amateur hockey team hoisting the Stanley Cup, there is no harm.
  70.94-  73.68  The context makes it clear that no one is meant to believe it.
  74.34-  76.46  The danger doesn't come from the software itself.
  77.22-  82.00  The trap begins the moment the technology is deployed to make someone believe a lie.
  82.00-  85.56  This graphic outlines why some fakes aren't friendly.
  86.18-  89.12  Harmful fakes are manufactured to get something in return.
  89.96-  91.60  The goal comes down to four things.
  92.50-  93.32  First is money.
  94.12-  98.38  Generating outrage leads to increased clicks, which translates directly to financial profit.
  99.46- 100.08  Second is power.
 100.84- 106.14  Manipulating public belief is a deliberate tactic to influence how people vote, protest, and spend their money.
 107.16- 107.68  Third is fame.
 108.56- 109.72  Viral content generates followers.
 109.72- 114.70  The material does not actually need to be true in order to spread rapidly across platforms.
 115.40- 116.40  Fourth is cruelty.
 117.24- 120.52  Some fakes are designed entirely to humiliate a targeted individual.
 121.10- 123.00  A tactic seen frequently in school environments.
 123.88- 129.78  If you suspect a clip is built for one of these reasons, your next instinct might be to reach for an AI detector.
 130.42- 132.94  Don't let a detector make the decision for you.
 133.36- 137.06  These tools look for digital patterns that suggest AI was involved,
 137.06- 142.58  but different sites frequently produce completely contradictory answers for the exact same clip.
 143.32- 146.58  Treat a detector's verdict as a clue, but never a ruling.
 147.32- 148.48  It is not definitive proof.
 149.20- 151.44  Fakes travel quickly when they spike your emotions.
 152.38- 157.28  A strong feeling of fear, hope, or outrage is your internal cue to stop.
 158.02- 161.66  Move the test away from the image and look at the surrounding evidence trail.
 161.66- 165.02  This diagram illustrates three formal checks.
 165.70- 168.02  Source, context, and corroboration.
 168.50- 172.42  Applying the source check means finding who originally posted it.
 172.98- 175.30  Context verifies the date and full announcement.
 176.26- 179.86  Finally, corroboration requires checking a separate official channel.
 180.52- 184.24  Another random account reposting it doesn't count as independent confirmation.
 185.04- 189.68  If you complete these steps and find no confirmation, the claim remains unverified.
 189.68- 195.72  This is a perfectly acceptable answer, and it is distinct from explicitly proving the clip is fake.
 196.54- 200.98  By moving the test off the image itself, you take away the creator's advantage
 200.98- 205.50  and shift your own position from passively reacting to actively investigating.
 206.48- 209.14  One rule sits underneath all three of these checks.
 209.86- 212.18  Verify somewhere the sender does not control.
 212.74- 217.58  If a voicemail asks for something urgent, call them back on the number you already have in your contacts.
 217.58- 223.76  If a clip is blowing up online, step out of that app and look for the original source that would actually know the details.
 224.80- 229.30  If a photo, clip, or fake account targets you personally, do not handle it alone.
 229.92- 233.86  When it is safe, save the username, the link, the date, and any messages.
 234.62- 236.74  Then bring in a trusted adult that same day.
 237.28- 240.48  There is a strict rule for fake private images of anyone under 18.
 241.08- 246.88  If someone makes or shares one of these images, do not screenshot it, do not download it, and do not pass it around.
 246.88- 249.80  This is the NC-MEC cyber tip line.
 250.34- 254.84  Instead of sharing the image, tell a trusted adult immediately and report it directly through the platform.
 255.58- 259.90  Organizations like NC-MEC offer tools like take it down to help you remove the content.
 260.50- 262.78  Remember, you did nothing wrong by being targeted.
 263.22- 267.90  Your eyes still work perfectly for reading, judging, and enjoying the fiction you choose to watch.
 268.58- 271.18  They just stopped working as a lie detector in the digital age.
 271.18- 274.32  So, always remember the ultimate rule.
 275.20- 277.04  Seeing or hearing isn't proof anymore.
 277.90- 279.46  Check the source, not the pixels.
