# embeddings: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
UNDERSTAND AI                            49.6s   24.3%    21.0%  +3.3
Dimensions                                0.0s    0.0%     0.0%  +0.0
Token                                     0.0s    0.0%     0.0%  +0.0
Token ID                                  0.0s    0.0%     0.0%  +0.0
Sweet                                     0.0s    0.0%     0.0%  +0.0
Bitter                                    0.0s    0.0%     0.0%  +0.0
Fizz                                      0.0s    0.0%     0.0%  +0.0
Heat                                      0.0s    0.0%     0.0%  +0.0
Caffeine                                  0.0s    0.0%     0.0%  +0.0
Dark                                     39.6s   19.4%    12.2%  +7.2
What about Pepsi?                        12.1s    5.9%    11.6%  -5.7
Dimensions                                0.0s    0.0%     0.0%  +0.0
Token                                     0.0s    0.0%     0.0%  +0.0
Token ID                                  0.0s    0.0%     0.0%  +0.0
Sweet                                     0.0s    0.0%     0.0%  +0.0
Bitter                                    0.0s    0.0%     0.0%  +0.0
Fizz                                      0.0s    0.0%     0.0%  +0.0
Heat                                      0.0s    0.0%     0.0%  +0.0
Caffeine                                  0.0s    0.0%     0.0%  +0.0
Dark                                      0.0s    0.0%     0.0%  +0.0
Citrus                                   66.0s   32.4%    28.5%  +3.8
INSIDE A REAL MODEL                       9.9s    4.9%    15.0% -10.2
Does every token get its own vector?     26.8s   13.1%    11.6%  +1.5

unattributed narration: 0.0s (0% of runtime) - intros, transitions, or material not in the lesson
