   0.00-   3.68  What you know matters, but what you do with it matters more.
   4.34-   9.06  Baseline knowledge helps you understand a subject and recognize when things don't add up.
   9.62-  14.94  Next is critical thinking, questioning claims, examining evidence, and considering alternatives.
  16.12-  20.70  Combining what you know with how you think yields better questions and better decisions.
  21.52-  25.00  Ultimately, you become smarter than the tool you're using.
  25.00-  31.26  Success depends on the deliberate habit of asking exactly what would have to be true for a specific claim to hold up.
  32.12-  36.24  In 2015, headlines around the world announced a delicious discovery.
  37.04-  40.28  A new study appeared to show that eating chocolate helps you lose weight.
  41.12-  43.02  Slim by chocolate ran one front page.
  43.92-  45.12  Did that headline make you pause?
  45.90-  48.16  If it did, that's your critical thinking getting started.
  48.98-  53.20  When people encountered that morning headline, the reactions generally went in two directions.
  53.20-  57.58  The first was to take it at face value. Sounds great, I believe it.
  58.20-  60.42  The second was the critical thinking reaction.
  61.16-  64.16  Wait a second, what's the actual evidence behind this claim?
  64.82-  71.66  You have to force yourself to pause and investigate, especially when a claim sounds exactly what you desperately want to believe.
  72.40-  76.70  The study was technically real, but it was designed to be mathematically flimsy.
  76.70-  84.20  The researchers used a tiny sample size of just 15 participants, and then they tracked 18 different things about them.
  84.78-  92.90  With that many measurements across such a small group, it is mathematically likely that at least one random chance result will look like an important discovery.
  93.68-  98.20  To complete the setup, the research institute backing the study was just a fake website.
  98.96- 101.84  The author was actually a journalist trying to prove a point.
 101.84- 107.88  A poorly conducted study paired with a great headline would fly around the world before anyone checked the facts.
 108.58- 109.04  He was right.
 109.66- 117.14  That is why the ability to read between the lines and verify facts is a required defense against manipulative information.
 118.12- 122.56  To avoid falling into traps, there are five habits you can build to sharpen your thinking.
 123.34- 126.14  Each one is a question you must actively ask yourself.
 126.14- 128.94  First, is it actually right?
 129.60- 134.10  You ask what specific evidence supports the claim and check if it proves the conclusion.
 135.12- 136.98  Second, do I know enough to judge?
 137.68- 143.36  You have to recognize where your own knowledge ends and identify exactly what new information you need.
 144.18- 145.40  Third, what's missing?
 146.24- 152.72  You actively look for omitted context, absent data, and completely different explanations for the information provided.
 153.30- 155.22  Fourth, why am I convinced?
 156.08- 161.76  Question your own motives to see if you are swayed by hard evidence, confident wording, or wishful thinking.
 162.54- 164.08  And fifth, what's my call?
 164.76- 169.96  Finally, you decide what to believe or do, keeping the flexibility to change your mind when you learn more.
 170.68- 173.30  These five questions work on any information you consume.
 174.00- 177.20  They are especially critical when you use artificial intelligence.
 177.94- 184.16  AI can help point out a flaw in your own logic, or it can confidently repeat a hallucinated error.
 184.94- 188.50  The burden is completely on you to judge which one of those is happening.
 189.32- 193.32  Artificial intelligence amplifies whatever level of thought you bring to the prompt.
 194.28- 199.08  Good critical thinking going into the tool is the only way to get sharper, reliable output.
