# layers: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
UNDERSTAND AI                            15.4s    9.6%     3.4%  +6.1
First read                                4.9s    3.0%     2.3%  +0.7
Read it again                             3.5s    2.2%     3.0%  -0.9
Read it a third time                     12.5s    7.7%     6.1%  +1.7
AI does the same thing                   48.7s   30.1%    18.9% +11.2
The mechanics                             7.6s    4.7%     6.8%  -2.1
Ambiguous “it”                            2.2s    1.3%     3.0%  -1.7
Through the layers                        6.5s    4.0%    12.1%  -8.1
Layer 1                                   0.0s    0.0%     0.0%  +0.0
Starting vector                           0.0s    0.0%     0.0%  +0.0
Attention                                 0.0s    0.0%     1.1%  -1.1
Transformation                            0.0s    0.0%     0.8%  -0.8
Richer vector out                         0.0s    0.0%     0.0%  +0.0
Layer 2                                   0.0s    0.0%     0.0%  +0.0
From layer 1                              0.0s    0.0%     0.0%  +0.0
Attention                                 0.0s    0.0%     1.1%  -1.1
Transformation                            0.0s    0.0%     0.8%  -0.8
Richer vector out                         0.0s    0.0%     0.0%  +0.0
Layer 3                                   0.0s    0.0%     0.0%  +0.0
From layer 2                              0.0s    0.0%     0.0%  +0.0
Attention                                 0.0s    0.0%     1.1%  -1.1
Transformation                            0.0s    0.0%     0.8%  -0.8
Richer vector out                         0.0s    0.0%     0.0%  +0.0
Dozens more layers                        0.0s    0.0%     0.0%  +0.0
From layer 3                              0.0s    0.0%     0.0%  +0.0
Attention                                 0.0s    0.0%     1.1%  -1.1
Transformation                            0.0s    0.0%     0.8%  -0.8
Richer vector out                         0.0s    0.0%     4.2%  -4.2
Why are there dozens of layers?           0.0s    0.0%     2.3%  -2.3
A few passes                              9.0s    5.5%     3.8%  +1.8
Dozens of passes                          7.1s    4.4%     4.5%  -0.1
Why not hundreds?                        16.7s   10.3%     8.3%  +2.0
Neural networks                          27.5s   17.0%    13.6%  +3.4

unattributed narration: 5.7s (3% of runtime) - intros, transitions, or material not in the lesson
