slug,runtime,cov20,mat15,teach15,board10,clean20,pace20,total,topband,gates,lever
welcome,2:21,15,10,12,8,14,16,75,NO,all pass,"REPAIR corrupted path board 1:28-1:38; missing paradox beat needs RE-ROLL"
what-is-ai,3:32,16,12,11,9,16,17,81,NO,all pass,"RE-ROLL for NAME GAME convention line; or REPAIR cropped movie-task board 1:36-2:12 + mask GI fragment 2:24"
what-you-can-control,2:54,18,11,11,9,15,15,79,NO,all pass,"RE-ROLL 0:07-0:44 abstraction with lesson's own three clauses; interim REPAIR pseudo-text chart 1:40"
does-school-matter,2:49,17,11,11,8,13,16,76,NO,all pass,"RE-ROLL for register (plain lesson wording + CEO at Google + course-name framing); REPAIR 3 gibberish spans + hold two-skills card 1:37-1:56"
art-of-prompting,4:05,17,13,12,10,15,17,84,NO,all pass,"RE-ROLL: qualities board walked gloss-by-gloss + 'Be Smarter Than the Tool' spoken. Note: engine drew marks ON kit boards again"
does-ai-think,3:39,18,12,12,10,15,16,83,NO,all pass,"REPAIR: graft real Chinese over invented-glyph notes at 1:12/1:16/1:20/2:00/2:08 using own clean frames 1:32/1:44 as donor"
evaluate-the-results,4:12,17,12,11,9,15,16,80,NO,all pass,"REPAIR: recompose 3:36-4:00 three-outcomes from kit jpg (cards overlap/clip)"
how-an-llm-works,2:59,16,12,11,9,16,16,80,NO,all pass,"RE-ROLL: close must speak all three myths + 'math working out probabilities'; separable REPAIR of invented 85/94% span 2:01-2:09"
critical-thinking,3:28,16,12,11,8,16,17,80,NO,all pass,"RE-ROLL: Petronoski aloud + 'isn't dont trust anything' + two reactions verbatim (all narration, no repair reaches them)"
ai-is-different,5:08,16,12,12,8,14,15,77,NO,all pass,"REPAIR: composed still over 3:12-3:24 duplicate-layer collision + fill 4s dead silence 2:07-2:11 (CONFIRMS pending ear-test item)"
ai-is-math,4:13,15,12,12,8,14,15,76,NO,all pass,"RE-ROLL: phone-keyboard bridge + closing linear-algebra/calculus paragraph required; REPAIR wrong 24/71% chart 2:28-2:34"
why-learn-ai,3:44,16,12,12,8,15,16,79,NO,all pass,"REPAIR: composed White House pull-quote still over 3:25-3:35 replacing invented triangle (fixes board+clean+sync at once)"
