id,date,stars,reviewer,review
1,2026-04-02,5,Student,"Way better than I expected. The sliding tile game actually taught me what vector space means."
2,2026-04-03,4,Student,"Good course. Wish there were more games like the tile one, most lessons are reading."
3,2026-04-03,5,Teacher,"I teach 10th grade English and used this with my class. First AI material that doesn't talk down to students."
4,2026-04-05,5,Student,"The hallucination lesson saved me. I checked a quote AI gave me for history and it was completely made up."
5,2026-04-06,3,Student,"Some words are really hard. What does perplexity even mean. Had to read that part three times."
6,2026-04-07,5,Student,"Finished the whole thing in three weekends. The traps section is the best part, Flattery Trap called me out personally."
7,2026-04-08,2,Student,"Did half the course on the library computer and when I got home my progress was gone. Started over from lesson 1."
8,2026-04-09,5,Parent,"My daughter explained tokens at dinner. Dinner is now 45 minutes long. Five stars."
9,2026-04-10,4,Student,"Really good but the Understand AI section is LONG. The videos in the middle stretch could be shorter."
10,2026-04-11,5,Student,"I built an actual game by typing sentences. I showed everyone in my family. Best lab ever."
11,2026-04-12,4,Teacher,"Excellent content. Would love a teacher guide with pacing suggestions for a semester."
12,2026-04-13,5,Student,"The GPS vs self-driving car thing finally made agents make sense to me."
13,2026-04-14,3,Student,"Good but I wanted more hands-on stuff. Reading about AI is fine, using it is better."
14,2026-04-15,5,Student,"Learned a ton. Still don't like the Dallas Stars though."
15,2026-04-16,4,Student,"Why is there no dark mode. My eyes at 11pm need dark mode."
16,2026-04-17,5,Student,"The Document Trap lesson is why I passed my research paper. Check the sources people."
17,2026-04-18,2,Student,"Lost all my progress when I switched from my school Chromebook to my home laptop. Please add accounts."
18,2026-04-19,5,Parent,"I did the course after my son finished it. Now we argue about whether AI thinks. Great problem to have."
19,2026-04-20,4,Student,"Loved most of it. The embeddings lesson got pretty math-y, almost quit there but glad I didn't."
20,2026-04-21,5,Student,"58 lessons sounded insane but they're short and actually fun. Don't skip the videos."
21,2026-04-22,3,Student,"More labs please. The ones that exist are great, there just aren't enough of them."
22,2026-04-23,5,Teacher,"My students quote the Be Smarter Than the Tool line at each other now. That's a win."
23,2026-04-24,4,Student,"Some vocabulary is above my level and I'm a sophomore. A glossary would help."
24,2026-04-25,5,Student,"The Fake Trap lesson should be required for my entire school. Maybe the whole internet."
25,2026-04-26,2,Student,"Cleared my browser history for unrelated reasons and the course forgot everything. Why is there no login."
26,2026-04-27,5,Student,"Tokens lesson blew my mind. AI can't even see whole words?? Explains so much."
27,2026-04-28,4,Student,"Great course but some of those middle videos drag. I started skipping to the boards."
28,2026-04-29,5,Student,"My mom kept getting flattered by ChatGPT and I diagnosed it from the Flattery Trap lesson. Felt like a doctor."
29,2026-04-30,3,Student,"Honestly good but I wish every lesson had a game or lab. The reading-heavy ones lose me."
30,2026-05-01,5,Teacher,"Used the traps section for a digital literacy unit. The scenarios are realistic and my students actually engaged."
31,2026-05-02,5,Student,"The context window lesson explained why ChatGPT forgot my essay halfway through. Mystery solved."
32,2026-05-03,4,Student,"Would be cool to get a certificate at the end. I want proof I finished for my college apps."
33,2026-05-04,5,Student,"Art of Prompting fixed my prompts. Three moves. That's it. Why did nobody tell me this before."
34,2026-05-05,2,Student,"Third computer this month and third time starting from zero. The course doesn't remember me anywhere."
35,2026-05-06,5,Parent,"Finally something my kids do on a screen that I don't feel guilty about."
36,2026-05-07,4,Student,"Really solid. Wish it worked better on my phone, some boxes get squished and the text gets tiny."
37,2026-05-08,5,Student,"The Rise of Agents rogue agent stories are terrifying and I love them."
38,2026-05-09,3,Student,"Perplexity, embeddings, transformer... some sections assume I know words I definitely don't know."
39,2026-05-10,5,Student,"Did the whole course with my study group. The TRY IT feedback roasted us multiple times. 10/10."
40,2026-05-11,4,Student,"Can we get a Spanish version? My parents want to do it but the English is a lot for them."
41,2026-05-12,5,Student,"I thought I knew AI because I use ChatGPT daily. Lesson 3 humbled me."
42,2026-05-13,5,Teacher,"The receipts-first approach to claims is the best media literacy teaching I've seen packaged for teens."
43,2026-05-14,4,Student,"More interactive stuff in the second half please. Front half has games, back half is more reading."
