lesson title,box title,suggested treatment
Understand AI Opener,What Kind of Thing Is AI?,Opener utility — keep the existing creed treatment; no Editorial Explainer conversion.
Understand AI Opener,Under the Hood,"Full-Length Teaching Illustration — keep; opening the AI machine under a car hood establishes the section metaphor. Rebuild the title as deterministic shell text and update Nate and Luke to the approved realistic likeness, including the less-curly hair reference."
Understand AI Opener,Understand AI: In This Section,Opener utility — keep the standardized four-row section-map treatment unchanged.
Training,The Training Loop,Editorial Explainer: Flow — use Guess → Check → Nudge as three ordered steps and preserve the return arrow that makes it a loop. The gold-band takeaway should land on ‘Same loop. Different lessons.’
Training,Before Training Starts,Editorial Explainer: Two-Card Full-Bleed — Set Up the System and Gather the Data are two equal prerequisites. Build new 16:9 internal graphics rather than stretching the existing panels.
Training,Three Phases of Training,"Editorial Explainer: Long Version — combine Pretraining, Instruction Tuning, and Preference Tuning as three ordered, evidence-rich cards. Keep the actor label, purpose, What Happened, What It Doesn’t Know, and basketball answer in each card; number the cards 1–3 because the order is real."
Training,Training Is Finished,Full-Length Teaching Illustration — keep; the three machines feeding a sealed core make the completed-model snapshot visible. Place it inside the standard shell and update Nate and Luke to the approved realistic likeness.
AI Is Math,Where Probability Math Began,"Delete the generated historical illustration from the live lesson — it adds atmosphere but does not explain probability. Keep the short Pascal-and-Fermat origin story in prose; if historical evidence is desired later, use a verified public-domain artifact as a page-only Story/Evidence Frame."
AI Is Math,The Math,"Editorial Shell: Worked Example — preserve the probability fraction exactly, but normalize the outer lavender canvas, 56 px title, white teaching sheet, minimum type, and gold takeaway."
AI Is Math,"One Coin, Two Outcomes",Editorial Shell: Worked Example — keep the favorable-outcome comparison and calculation as exact evidence. Make this and the next two probability boards one visually locked sequence rather than converting them to illustration cards.
AI Is Math,"Two Coins, Four Outcomes","Editorial Shell: Worked Example — preserve all four outcomes and the 1-of-4 calculation. Match the One Coin board’s title, sheet geometry, outcome-card sizing, and takeaway placement."
AI Is Math,Conditional Probability,"Editorial Shell: Worked Example — preserve the same four-outcome grid, visibly rule out two outcomes, and update the result from 25% to 50%. Treat it as the next state of the Two Coins board."
AI Is Math,How Evidence Turns Into the Next Word,Editorial Explainer: Flow — Standard Probability → Conditional Probability → Autoregressive Generation is a true three-step handoff. Use purpose-built internal graphics and keep ‘Every new word changes the odds for the next one’ in the gold band.
AI Is Math,From Base Rate to Next Word,"Full-Length Teaching Illustration — keep; the physical base-rate, new-clue, and next-word mechanism gives the abstract Flow board a memorable teaching analogy. Use the standard shell and approved Nate/Luke likeness; keep essential labels deterministic rather than baked into the art."
AI Is Math,Read the Odds,Keep as a page-native TRY IT; exclude from the board retrofit.
Tokens,But That’s Not What Using AI Feels Like,"Editorial Shell: AI-response evidence — keep the single user prompt and full AI response as a compact two-turn example. Do not force it into Editorial Explainer: AI Chat, which is designed for four to six turns."
Tokens,"One Chunk, Thousands of Words","Editorial Shell: Worked Example — preserve the repeated UN chunks as exact token evidence. Normalize the shell and type, but keep the responsive word-chip interior rather than adding decorative cards."
Tokens,How Tokenization Works,"Editorial Explainer: Three-Card Full-Bleed — Before the Model, Two Names, and A Token Might Be are three parallel facts that introduce the system. Create new 16:9 teaching graphics for each card."
Tokens,Humans See a Cat. AI Starts With a Token ID.,Editorial Explainer: Two-Card Full-Bleed — contrast Instant Understanding with Token ID. Keep the takeaway ‘A token ID identifies the token. Meaning comes later.’ in the gold band.
Tokens,How AI Splits Text Into Tokens,Editorial Shell: Worked Example — preserve the five exact tokenization rows and IDs as a numbered evidence table. Use the standard shell and minimum 29 px essential text; do not turn the rows into full-bleed cards.
Tokens,Text Becomes Tokens,"Full-Length Teaching Illustration — keep; Luke and Nate operating the tokenizer visibly connects text chunks to token IDs. Use the standard shell, approved realistic likeness, and deterministic labels outside the generated art."
Tokens,What Counts as a Token?,Keep as a page-native TRY IT; exclude from the board retrofit.
Embeddings,The Cafeteria Student-ID Example,"Delete the full-length illustration from the live lesson — the fries gag adds atmosphere but does not show why an ID lacks meaning, and the repeated student likenesses are distracting. Keep the Student ID analogy in prose and move directly to the taste-profile teaching tool."
Embeddings,Meaning Becomes an Ordered Row of Numbers,"Editorial Shell: Worked Example — the Coke-versus-Coffee sliders and values are the explanation. Preserve the table, normalize the shell and type, and keep all dimension/value alignments exact."
Embeddings,One New Dimension Separates Similar Meanings,Editorial Shell: Worked Example — keep the peer taste-profile layout and add Citrus as the one visible change. Lock its geometry to the prior board so the learner can compare states immediately.
Embeddings,Inside a Real AI Model,"Editorial Shell: Worked Example — keep the token → token ID → embedding-table row → vector → later-parameter relationship, but rebuild all labels and numbers deterministically inside the standard shell. The current baked-in text is too dense and stylistically separate from the board system."
Embeddings,Name That Drink,Keep as a page-native TRY IT; exclude from the board retrofit.
Embeddings,Build Your Own Vector,Keep as a page-native TRY IT; exclude from the board retrofit.
Transformer,Two Problems Context Must Solve,"Editorial Explainer: Two-Card Full-Bleed — Different Meanings and Pronouns are two parallel ambiguity problems. Use purpose-built scenes for LIGHT and IT, then keep the exact sentence evidence in the copy area."
