clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0135.94-breath_or_room_sound.wav,135.94,136.58,0.6400000000000148,completion.,If,-19.341201854904973,0.48810672760009766,0.61,BREATH_OR_ROOM_SOUND,
02-0100.66-breath_or_room_sound.wav,100.66,101.54,0.8800000000000097,tendencies.,It,-19.32967335994292,0.8086881041526794,0.47000000000000003,BREATH_OR_ROOM_SOUND,
03-0199.56-breath_or_room_sound.wav,199.56,200.1,0.539999999999992,"patterns,","probability,",-17.809362614295846,0.5583537220954895,0.35000000000000003,BREATH_OR_ROOM_SOUND,
04-0047.80-breath_or_room_sound.wav,47.8,48.24,0.44000000000000483,"pages,","chats,",-19.652818688372243,0.5088274478912354,0.4,BREATH_OR_ROOM_SOUND,
05-0144.46-breath_or_room_sound.wav,144.46,145.28,0.8199999999999932,bananas.,But,-18.4639799196735,1.0019482374191284,0.31,BREATH_OR_ROOM_SOUND,
06-0060.30-breath_or_room_sound.wav,60.3,60.88,0.5800000000000054,"cloud,",it,-17.878767447145986,0.22075329720973969,0.26,BREATH_OR_ROOM_SOUND,
07-0012.44-breath_or_room_sound.wav,12.44,13.5,1.0600000000000005,phases.,"First,",-21.29623116018022,0.6227519512176514,0.43,BREATH_OR_ROOM_SOUND,
08-0218.32-breath_or_room_sound.wav,218.32,219.04,0.7199999999999989,machine.,It,-20.572522434849002,0.373648077249527,0.38,BREATH_OR_ROOM_SOUND,
09-0208.76-breath_or_room_sound.wav,208.76,209.8,1.0400000000000205,myths.,"First,",-20.287989092641645,0.9915257692337036,0.35000000000000003,BREATH_OR_ROOM_SOUND,
10-0048.40-breath_or_room_sound.wav,48.4,48.9,0.5,"chats,",and,-20.131961337195307,0.5441113710403442,0.34,BREATH_OR_ROOM_SOUND,
11-0137.46-breath_or_room_sound.wav,137.46,137.76,0.29999999999998295,"is,",I'd,-17.321821258241545,0.7112051248550415,0.19,BREATH_OR_ROOM_SOUND,
12-0003.14-breath_or_room_sound.wav,3.14,3.6,0.45999999999999996,"sentence,",they,-20.11850709480191,0.5475958585739136,0.32,BREATH_OR_ROOM_SOUND,
13-0211.96-breath_or_room_sound.wav,211.96,213.06,1.0999999999999943,math.,"Second,",-20.903037205079997,1.0825600624084473,0.32,BREATH_OR_ROOM_SOUND,
14-0183.24-breath_or_room_sound.wav,183.24,183.7,0.45999999999997954,"odds,",and,-20.615283196781725,0.7058655023574829,0.28,BREATH_OR_ROOM_SOUND,
15-0001.50-breath_or_room_sound.wav,1.5,1.98,0.48,"GPT,",or,-22.422373315636925,0.325939416885376,0.35000000000000003,BREATH_OR_ROOM_SOUND,
16-0215.78-breath_or_room_sound.wav,215.78,216.59,0.8100000000000023,understanding.,"Third,",-21.032232081095668,0.8205974698066711,0.28,BREATH_OR_ROOM_SOUND,
17-0200.32-breath_or_room_sound.wav,200.32,200.9,0.5800000000000125,"probability,",and,-18.669719021402077,0.1363322138786316,0.48,BREATH_OR_ROOM_SOUND,
18-0181.62-breath_or_room_sound.wav,181.62,182.24,0.6200000000000045,"sentence,",recalculates,-21.005912879900173,0.6367893815040588,0.27,BREATH_OR_ROOM_SOUND,
19-0132.60-breath_or_room_sound.wav,132.6,133.06,0.46000000000000796,each.,This,-23.206258672719354,0.45521876215934753,0.38,BREATH_OR_ROOM_SOUND,
20-0036.46-breath_or_room_sound.wav,36.46,36.8,0.3399999999999963,"once,",we,-20.140824397752976,0.7437509298324585,0.22,BREATH_OR_ROOM_SOUND,
21-0235.34-breath_or_room_sound.wav,235.34,236.06,0.7199999999999989,person.,It,-21.564756617414407,0.7540751695632935,0.28,BREATH_OR_ROOM_SOUND,
22-0150.90-breath_or_room_sound.wav,150.9,151.28,0.37999999999999545,"reads,",I'd,-19.729691093506055,0.8486206531524658,0.18,BREATH_OR_ROOM_SOUND,
23-0035.82-breath_or_room_sound.wav,35.82,35.94,0.11999999999999744,"phase,",learn,-19.059471196984795,0.5106909871101379,0.12,BREATH_OR_ROOM_SOUND,
24-0214.04-breath_or_room_sound.wav,214.04,214.52,0.4800000000000182,person.,There,-20.9589827119593,0.9487112760543823,0.2,BREATH_OR_ROOM_SOUND,
25-0040.62-breath_or_room_sound.wav,40.62,40.86,0.240000000000002,"phase,",we,-21.074740330832867,0.6363961100578308,0.2,BREATH_OR_ROOM_SOUND,
26-0046.84-breath_or_room_sound.wav,46.84,47.22,0.37999999999999545,"books,",web,-22.241495654386046,0.538598895072937,0.22,BREATH_OR_ROOM_SOUND,
27-0209.80-breath_or_room_sound.wav,209.8,210.14,0.339999999999975,"First,",AI,-21.017396745556788,0.5642783641815186,0.13,BREATH_OR_ROOM_SOUND,
28-0125.26-breath_or_room_sound.wav,125.26,125.78,0.519999999999996,guess.,It,-21.597114361481875,0.7401331067085266,0.15,BREATH_OR_ROOM_SOUND,
29-0169.70-breath_or_room_sound.wav,169.7,170.72,1.0200000000000102,prediction.,The,-23.782022568314474,0.47246235609054565,0.24,BREATH_OR_ROOM_SOUND,
30-0082.96-breath_or_room_sound.wav,82.96,83.76,0.8000000000000114,Patterns.,Because,-24.534068351923302,0.6149669885635376,0.27,BREATH_OR_ROOM_SOUND,
31-0117.82-breath_or_room_sound.wav,117.82,118.26,0.44000000000001194,"phase,",starting,-22.349311558134346,0.7936381101608276,0.16,BREATH_OR_ROOM_SOUND,
32-0232.34-breath_or_room_sound.wav,232.34,233.16,0.8199999999999932,text.,It,-21.976481853965296,1.0351678133010864,0.14,BREATH_OR_ROOM_SOUND,
