clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0056.29-breath_or_room_sound.wav,56.29,56.71,0.4200000000000017,"question,",one,-16.799501927979815,0.5653297305107117,0.31,BREATH_OR_ROOM_SOUND,
02-0060.63-breath_or_room_sound.wav,60.63,60.85,0.21999999999999886,"sure,",why,-12.222582292355417,0.1784631609916687,0.15,BREATH_OR_ROOM_SOUND,
03-0166.89-breath_or_room_sound.wav,166.89,167.49,0.6000000000000227,"customers,",and,-18.183494119186147,0.9810099601745605,0.33,BREATH_OR_ROOM_SOUND,
04-0185.79-breath_or_room_sound.wav,185.79,186.57,0.7800000000000011,success.,"Internally,",-18.548417893890814,1.0409513711929321,0.26,BREATH_OR_ROOM_SOUND,
05-0173.71-breath_or_room_sound.wav,173.71,174.27,0.5600000000000023,"interface,",the,-18.202379957461005,0.9709743857383728,0.24,BREATH_OR_ROOM_SOUND,
06-0087.87-breath_or_room_sound.wav,87.87,88.49,0.6199999999999903,"resist,",we,-20.159558804757545,1.040546178817749,0.24,BREATH_OR_ROOM_SOUND,
07-0071.59-breath_or_room_sound.wav,71.59,72.07,0.47999999999998977,"quiz,",followed,-19.592573492721186,0.8302724957466125,0.18,BREATH_OR_ROOM_SOUND,
08-0181.67-breath_or_room_sound.wav,181.67,182.55,0.8800000000000239,becomes.,This,-20.28236403680131,1.0026483535766602,0.18,BREATH_OR_ROOM_SOUND,
09-0103.81-breath_or_room_sound.wav,103.81,104.63,0.8199999999999932,friction.,By,-22.14261808552144,0.3881620168685913,0.27,BREATH_OR_ROOM_SOUND,
10-0178.61-breath_or_room_sound.wav,178.61,179.09,0.47999999999998977,"extract,",and,-20.461385814124206,0.26142019033432007,0.16,BREATH_OR_ROOM_SOUND,
11-0162.07-breath_or_room_sound.wav,162.07,162.83,0.7600000000000193,Internet.,Most,-27.461935640628724,0.32017600536346436,0.48,BREATH_OR_ROOM_SOUND,
12-0143.59-blip_candidate.wav,143.59,144.07,0.47999999999998977,use.,It's,-19.622066873632765,1.0137933492660522,0.08,BLIP_CANDIDATE,
