whybother	Ask the right question||Make the answer better	does-school-matter-1-two-skills	Two skills. Both grow with what you know.
whybother	—	does-school-matter-2-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
modelselection	The Anything Box||The Thinking Partner||Built Into Google	which-app-1-big-three	The big three, side by side
modelselection	Claude Code wrote all the code||Pulling in current information	which-app-2-app-jobs	How we used each app to build this course
modelselection	—	which-app-3-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
aiismath	The math||STANDARD PROBABILITY||Ways it happens||PROBABILITY	ai-is-math-1-formula
aiismath	One coin creates two possible outcomes||HEADS||TAILS||50%	ai-is-math-2-one-coin
aiismath	Two coins create four possible outcomes||HEADS + HEADS||25%	ai-is-math-3-two-coins
aiismath	One clue changes the odds||RULED OUT||50%	ai-is-math-4-update
aiismath	How evidence turns into the next word||Conditional probability||PICKING THE NEXT WORD	ai-is-math-5-tying
aiismath	—	ai-is-math-6-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
attention	Different Meanings||Pronouns||See the problem?	transformer-1-problems	Two problems the words around a word have to solve
attention	How AI used to read	transformer-2-used-to-read
attention	Which words matter?||Update the meaning	transformer-3-two-steps	The two steps inside every layer
attention	Different Meanings||Pronouns||not-heavy in the other	transformer-4-payoff	Now let’s answer the two questions we left open.
attention	—	transformer-5-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
layers	First read||Read it again||Read it a third time	layers-1-three-reads	Each pass, your mind updates the meaning until it clicks.
layers	What happens inside each layer||Richer vector out	layers-2-inside
layers	A few passes||Why not hundreds?||shallow meaning	layers-3-why-dozens	Why are there dozens of layers?
layers	—	layers-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
embeddings	Taste Profile · Coke vs. Coffee	embeddings-1-taste-two
embeddings	Taste Profile · Coke vs. Pepsi vs. Coffee	embeddings-2-taste-three
embeddings	—	embeddings-3-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
aihistory	Learn once||patterns power every answer	how-an-llm-works-1-map	Four ideas carry it
aihistory	Reads||Guesses||Corrects	how-an-llm-works-2-training
aihistory	Patterns are everywhere	how-an-llm-works-3-patterns
aihistory	Same word, different odds	how-an-llm-works-4-odds
aihistory	Not magic||Not a person||Not a truth machine||confusion falls away	how-an-llm-works-5-myths	That clears up three big myths
