# learn-with-ai: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
START SMARTER                            43.0s   22.8%    17.4%  +5.4
Gemini Notebook                          12.0s    6.3%     4.3%  +2.0
Best use                                  4.0s    2.1%     4.0%  -1.9
The catch                                 7.5s    4.0%     4.3%  -0.4
ChatGPT · Claude · Gemini                 4.5s    2.4%     4.0%  -1.7
Best use                                  0.0s    0.0%     2.8%  -2.8
The catch                                 7.0s    3.7%     3.4%  +0.3
Start here                               16.0s    8.5%     6.5%  +1.9
How Gemini Notebook works                 4.0s    2.1%     5.6%  -3.5
What you feed in                          8.0s    4.2%     3.4%  +0.8
What you get out                          0.0s    0.0%     3.1%  -3.1
Best practices                           83.0s   43.9%    41.0%  +2.9

unattributed narration: 7.0s (4% of runtime) - intros, transitions, or material not in the lesson
