# where-ai-works-best: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
WORK WITH AI                             76.0s   41.5%    41.9%  -0.4
Examples                                 16.0s    8.7%     4.8%  +3.9
Patterned transformation                  3.0s    1.6%     6.9%  -5.2
Examples                                  9.0s    4.9%     4.4%  +0.5
Generative variation                     24.0s   13.1%     8.5%  +4.6
Examples                                  9.0s    4.9%     5.2%  -0.3
Semantic compression and retrieval        8.0s    4.4%     6.0%  -1.7
Examples                                  7.0s    3.8%     3.2%  +0.6
Structured reasoning and synthesis        0.0s    0.0%     0.0%  +0.0
Why this works: vast exposure            31.0s   16.9%    19.0%  -2.0

unattributed narration: 14.0s (7% of runtime) - intros, transitions, or material not in the lesson
