clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0131.23-breath_or_room_sound.wav,131.23,131.75,0.5200000000000102,"slides,",and,-15.595484532797881,1.0466632843017578,0.42,BREATH_OR_ROOM_SOUND,
02-0164.23-breath_or_room_sound.wav,164.23,165.09,0.8600000000000136,information.,"Finally,",-19.459635209756435,0.35935717821121216,0.7000000000000001,BREATH_OR_ROOM_SOUND,
03-0046.25-breath_or_room_sound.wav,46.25,46.75,0.5,"ChachiPT,","Claude,",-15.691772136302378,0.8986846208572388,0.3,BREATH_OR_ROOM_SOUND,
04-0088.93-breath_or_room_sound.wav,88.93,89.45,0.519999999999996,"images,",or,-17.596987100295806,0.7561765909194946,0.34,BREATH_OR_ROOM_SOUND,
05-0190.31-breath_or_room_sound.wav,190.31,190.99,0.6800000000000068,"materials,",trace,-18.28628627312818,0.9267193675041199,0.36,BREATH_OR_ROOM_SOUND,
06-0012.01-breath_or_room_sound.wav,12.01,12.55,0.5400000000000009,"twice,",and,-17.34823112408257,0.7600699663162231,0.31,BREATH_OR_ROOM_SOUND,
07-0088.33-breath_or_room_sound.wav,88.33,88.65,0.3200000000000074,"slides,","images,",-17.1760629081783,0.6091211438179016,0.29,BREATH_OR_ROOM_SOUND,
08-0103.43-breath_or_room_sound.wav,103.43,103.95,0.519999999999996,"formats,",the,-16.789891553484114,0.9757652878761292,0.26,BREATH_OR_ROOM_SOUND,
09-0039.45-breath_or_room_sound.wav,39.45,39.99,0.5399999999999991,"materials,",it,-18.43844461163602,0.5601106882095337,0.32,BREATH_OR_ROOM_SOUND,
10-0176.43-breath_or_room_sound.wav,176.43,177.05,0.6200000000000045,"materials,",providing,-19.00818133797789,0.8408510684967041,0.32,BREATH_OR_ROOM_SOUND,
11-0144.13-breath_or_room_sound.wav,144.13,144.97,0.8400000000000034,recognition.,Actual,-20.56399512928772,0.3235834538936615,0.37,BREATH_OR_ROOM_SOUND,
12-0048.73-breath_or_room_sound.wav,48.73,49.23,0.5,"interface,",are,-18.799926377395643,0.967387855052948,0.28,BREATH_OR_ROOM_SOUND,
13-0031.89-breath_or_room_sound.wav,31.89,32.75,0.8599999999999994,exams.,This,-20.76655975875964,0.7096219062805176,0.33,BREATH_OR_ROOM_SOUND,
14-0009.01-breath_or_room_sound.wav,9.01,9.57,0.5600000000000005,"am,",it,-15.363112118523487,0.15284666419029236,0.29,BREATH_OR_ROOM_SOUND,
15-0047.03-breath_or_room_sound.wav,47.03,47.35,0.3200000000000003,"Claude,",or,-13.44961707808169,0.13097652792930603,0.26,BREATH_OR_ROOM_SOUND,
