clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0163.00-breath_or_room_sound.wav,163.0,163.56,0.5600000000000023,"GPT,","Claude,",-11.97349214796887,0.5426501035690308,0.35000000000000003,BREATH_OR_ROOM_SOUND,
02-0163.82-breath_or_room_sound.wav,163.82,164.64,0.8199999999999932,"Claude,","Gemini,",-14.441605584372335,0.3907053470611572,0.44,BREATH_OR_ROOM_SOUND,
03-0094.46-breath_or_room_sound.wav,94.46,95.12,0.6600000000000108,"revolution,",they,-15.416091080844744,0.3970322608947754,0.43,BREATH_OR_ROOM_SOUND,
04-0166.00-breath_or_room_sound.wav,166.0,166.8,0.8000000000000114,AI.,To,-16.080262186055638,0.19325195252895355,0.35000000000000003,BREATH_OR_ROOM_SOUND,
05-0164.64-breath_or_room_sound.wav,164.64,165.36,0.7200000000000273,"Gemini,",generative,-14.357706365891174,0.1373584270477295,0.43,BREATH_OR_ROOM_SOUND,
06-0208.74-breath_or_room_sound.wav,208.74,209.22,0.47999999999998977,"communication,",allowing,-20.163051701576634,0.38781723380088806,0.34,BREATH_OR_ROOM_SOUND,
07-0199.66-breath_or_room_sound.wav,199.66,200.06,0.4000000000000057,"websites,",and,-20.19529106555074,0.5322064757347107,0.29,BREATH_OR_ROOM_SOUND,
08-0001.52-breath_or_room_sound.wav,1.52,2.52,1.0,constantly.,Every,-22.407422221409107,0.48147910833358765,0.4,BREATH_OR_ROOM_SOUND,
09-0098.46-breath_or_room_sound.wav,98.46,99.04,0.5800000000000125,capability.,To,-20.612721546700634,0.1477144956588745,0.51,BREATH_OR_ROOM_SOUND,
10-0051.64-breath_or_room_sound.wav,51.64,52.26,0.6199999999999974,"Netflix,",queuing,-21.45859915191857,0.2302134931087494,0.24,BREATH_OR_ROOM_SOUND,
11-0172.86-breath_or_room_sound.wav,172.86,173.54,0.6799999999999784,tools.,There,-21.47070300991469,0.4636414051055908,0.22,BREATH_OR_ROOM_SOUND,
12-0059.58-breath_or_room_sound.wav,59.58,59.94,0.35999999999999943,"gets,",this,-21.61036272321904,0.4315682649612427,0.22,BREATH_OR_ROOM_SOUND,
13-0010.26-breath_or_room_sound.wav,10.26,10.6,0.33999999999999986,"noise,",it,-22.281969645577387,0.4556421935558319,0.25,BREATH_OR_ROOM_SOUND,
14-0168.80-breath_or_room_sound.wav,168.8,169.14,0.339999999999975,"course,",we'll,-20.911743126445757,0.6244539022445679,0.17,BREATH_OR_ROOM_SOUND,
15-0025.70-breath_or_room_sound.wav,25.7,26.32,0.620000000000001,categories.,This,-27.566109299920715,0.26443541049957275,0.5700000000000001,BREATH_OR_ROOM_SOUND,
16-0239.41-breath_or_room_sound.wav,239.41,240.07,0.6599999999999966,"AI,",one,-20.579136551676214,0.1836887151002884,0.23,BREATH_OR_ROOM_SOUND,
17-0144.18-breath_or_room_sound.wav,144.18,144.74,0.5600000000000023,"atmosphere,",and,-21.769111905486,0.2088678479194641,0.19,BREATH_OR_ROOM_SOUND,
18-0087.22-breath_or_room_sound.wav,87.22,87.92,0.7000000000000028,websites.,It,-22.72507243973587,0.7042554020881653,0.23,BREATH_OR_ROOM_SOUND,
19-0141.10-breath_or_room_sound.wav,141.1,141.72,0.6200000000000045,"feedback,",reasons,-21.02328440939869,0.1805804967880249,0.24,BREATH_OR_ROOM_SOUND,
20-0210.84-breath_or_room_sound.wav,210.84,211.18,0.3400000000000034,"write,",and,-21.94344495905497,0.3002502918243408,0.18,BREATH_OR_ROOM_SOUND,
21-0240.57-breath_or_room_sound.wav,240.57,241.03,0.46000000000000796,"picks,",and,-23.299928607853175,0.3570883870124817,0.24,BREATH_OR_ROOM_SOUND,
22-0084.82-breath_or_room_sound.wav,84.82,85.62,0.8000000000000114,scratch.,It,-22.307657225867633,0.4189753532409668,0.18,BREATH_OR_ROOM_SOUND,
23-0218.58-breath_or_room_sound.wav,218.58,219.28,0.6999999999999886,"itself,",the,-21.873464785244682,0.46996092796325684,0.15,BREATH_OR_ROOM_SOUND,
24-0202.46-breath_or_room_sound.wav,202.46,203.2,0.7399999999999807,structured.,The,-28.952326806422754,0.22780382633209229,0.58,BREATH_OR_ROOM_SOUND,
25-0237.35-breath_or_room_sound.wav,237.35,238.15,0.8000000000000114,division.,There,-24.121606179172446,0.29399263858795166,0.25,BREATH_OR_ROOM_SOUND,
26-0004.40-breath_or_room_sound.wav,4.4,4.8,0.39999999999999947,"headline,",and,-16.250845907627728,0.10822036862373352,0.3,BREATH_OR_ROOM_SOUND,
27-0153.50-breath_or_room_sound.wav,153.5,154.16,0.6599999999999966,options.,The,-24.07245487998881,0.4335482120513916,0.23,BREATH_OR_ROOM_SOUND,
28-0150.10-breath_or_room_sound.wav,150.1,150.9,0.8000000000000114,conversation.,One,-24.598473073195994,0.3347271978855133,0.24,BREATH_OR_ROOM_SOUND,
29-0161.90-breath_or_room_sound.wav,161.9,162.32,0.4199999999999875,this.,Chat,-22.64875719680159,0.7095135450363159,0.14,BREATH_OR_ROOM_SOUND,
30-0103.78-breath_or_room_sound.wav,103.78,104.02,0.23999999999999488,"task,",asking,-22.63944516976984,0.6306097507476807,0.12,BREATH_OR_ROOM_SOUND,
31-0137.96-breath_or_room_sound.wav,137.96,138.5,0.539999999999992,"house,",the,-23.779732088134622,0.44078823924064636,0.17,BREATH_OR_ROOM_SOUND,
32-0029.82-breath_or_room_sound.wav,29.82,30.24,0.41999999999999815,"apps,",separating,-26.659956995302192,0.4444665014743805,0.31,BREATH_OR_ROOM_SOUND,
33-0043.92-breath_or_room_sound.wav,43.92,44.5,0.5799999999999983,"exist,",rank,-24.19991412960989,0.31593090295791626,0.18,BREATH_OR_ROOM_SOUND,
34-0176.38-breath_or_room_sound.wav,176.38,176.92,0.539999999999992,"tools,",the,-25.218293210861468,0.3393059968948364,0.2,BREATH_OR_ROOM_SOUND,
35-0091.38-breath_or_room_sound.wav,91.38,92.0,0.6200000000000045,files.,When,-25.586092178042627,0.5505719184875488,0.17,BREATH_OR_ROOM_SOUND,
36-0101.24-breath_or_room_sound.wav,101.24,101.72,0.480000000000004,"differ,",let's,-18.55374197546649,0.12528716027736664,0.15,BREATH_OR_ROOM_SOUND,
37-0110.62-breath_or_room_sound.wav,110.62,111.26,0.6400000000000006,Harbor.,If,-21.663329447601605,0.14695070683956146,0.18,BREATH_OR_ROOM_SOUND,
