# questions-matter: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
WORK WITH AI                             29.9s   17.8%    17.6%  +0.1
Pre-Internet (Grandparents)              10.4s    6.2%     6.2%  -0.1
Time to answer                            0.0s    0.0%     0.7%  -0.7
The Internet (Parents)                    7.4s    4.4%     6.2%  -1.8
Time to answer                            0.0s    0.0%     0.3%  -0.3
Now (You)                                 4.1s    2.4%     1.4%  +1.1
Time to answer                            3.0s    1.8%     5.9%  -4.1
Finding the answer                        6.1s    3.6%     3.5%  +0.2
Asking the question                      12.9s    7.7%     4.2%  +3.5
What Makes a Good Question?              36.4s   21.6%    18.3%  +3.3
Bad                                       4.1s    2.4%     2.4%  +0.0
Better                                   12.6s    7.5%     6.6%  +0.9
Bad                                       0.0s    0.0%     0.7%  -0.7
Better                                   16.3s    9.7%     8.7%  +1.0
Bad                                       7.4s    4.4%     2.4%  +2.0
Better                                    5.6s    3.3%     8.0%  -4.6
Bad                                       3.2s    1.9%     1.4%  +0.5
Better                                    9.0s    5.3%     5.5%  -0.2

unattributed narration: 14.6s (8% of runtime) - intros, transitions, or material not in the lesson
