clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0066.92-breath_or_room_sound.wav,66.92,67.88,0.9599999999999937,systematically.,You're,-16.675384395479053,0.5095349550247192,0.91,BREATH_OR_ROOM_SOUND,
02-0001.50-breath_or_room_sound.wav,1.5,1.84,0.3400000000000001,"person,",the,-17.109876768252406,0.8093194961547852,0.27,BREATH_OR_ROOM_SOUND,
03-0080.64-breath_or_room_sound.wav,80.64,81.44,0.7999999999999972,situation.,The,-18.89541451991949,0.325615793466568,0.32,BREATH_OR_ROOM_SOUND,
04-0171.76-breath_or_room_sound.wav,171.76,172.5,0.7400000000000091,"thesis,","citations,",-22.73443391752938,0.35341131687164307,0.48,BREATH_OR_ROOM_SOUND,
05-0232.98-breath_or_room_sound.wav,232.98,234.08,1.1000000000000227,instructions.,Bringing,-21.144182239979926,0.47362834215164185,0.4,BREATH_OR_ROOM_SOUND,
06-0051.02-breath_or_room_sound.wav,51.02,51.52,0.5,"Second,",it,-18.036777742935524,0.1761179268360138,0.33,BREATH_OR_ROOM_SOUND,
07-0031.98-breath_or_room_sound.wav,31.98,32.58,0.5999999999999979,response.,Treating,-23.15168219788635,0.7465819120407104,0.44,BREATH_OR_ROOM_SOUND,
08-0086.74-breath_or_room_sound.wav,86.74,87.42,0.6800000000000068,provide.,You,-18.879365493772106,0.2140488177537918,0.21,BREATH_OR_ROOM_SOUND,
09-0048.98-breath_or_room_sound.wav,48.98,49.26,0.28000000000000114,"First,",it,-19.33590479931403,0.6497577428817749,0.22,BREATH_OR_ROOM_SOUND,
10-0208.70-breath_or_room_sound.wav,208.7,209.26,0.5600000000000023,"questions,",no,-22.34477832399961,0.2887507975101471,0.37,BREATH_OR_ROOM_SOUND,
11-0113.40-breath_or_room_sound.wav,113.4,114.44,1.039999999999992,attention?,Firmly,-22.90362282404815,0.3187190890312195,0.33,BREATH_OR_ROOM_SOUND,
12-0143.82-breath_or_room_sound.wav,143.82,144.62,0.8000000000000114,constraints.,One,-23.631577807528778,0.6513665914535522,0.31,BREATH_OR_ROOM_SOUND,
13-0050.20-breath_or_room_sound.wav,50.2,50.8,0.5999999999999943,-minded.,"Second,",-21.702661880455125,0.3087320029735565,0.21,BREATH_OR_ROOM_SOUND,
14-0052.48-breath_or_room_sound.wav,52.48,53.46,0.980000000000004,specific.,"Third,",-22.854103822332554,0.7157024145126343,0.26,BREATH_OR_ROOM_SOUND,
15-0103.30-breath_or_room_sound.wav,103.3,104.0,0.7000000000000028,feedback.,Notice,-21.983621338095077,0.249522402882576,0.21,BREATH_OR_ROOM_SOUND,
16-0058.16-breath_or_room_sound.wav,58.16,58.56,0.4000000000000057,"fourth,",it,-19.49769309502107,0.1890936940908432,0.14,BREATH_OR_ROOM_SOUND,
17-0062.06-breath_or_room_sound.wav,62.06,62.84,0.7800000000000011,material.,But,-21.48592745713719,0.17019402980804443,0.3,BREATH_OR_ROOM_SOUND,
18-0145.04-breath_or_room_sound.wav,145.04,145.56,0.5200000000000102,"sentence,",no,-24.13094157584032,0.3578057289123535,0.27,BREATH_OR_ROOM_SOUND,
19-0109.78-breath_or_room_sound.wav,109.78,110.5,0.7199999999999989,patience.,Here's,-23.33117113535598,0.7526842355728149,0.23,BREATH_OR_ROOM_SOUND,
20-0185.26-breath_or_room_sound.wav,185.26,186.24,0.9800000000000182,simply.,Step,-23.667766645594185,0.385701060295105,0.24,BREATH_OR_ROOM_SOUND,
21-0057.02-breath_or_room_sound.wav,57.02,57.26,0.23999999999999488,subject.,And,-21.157974953558757,0.3192089796066284,0.1,BREATH_OR_ROOM_SOUND,
22-0230.94-breath_or_room_sound.wav,230.94,231.82,0.8799999999999955,required.,You,-23.67651090593902,0.19426420331001282,0.25,BREATH_OR_ROOM_SOUND,
23-0077.92-breath_or_room_sound.wav,77.92,78.56,0.6400000000000006,moves.,Move,-23.475982551492965,0.6988838911056519,0.19,BREATH_OR_ROOM_SOUND,
24-0074.56-breath_or_room_sound.wav,74.56,74.86,0.29999999999999716,"shows,",packaging,-22.12655645132783,0.5188963413238525,0.11,BREATH_OR_ROOM_SOUND,
25-0027.26-breath_or_room_sound.wav,27.26,27.71,0.4499999999999993,received.,The,-27.346901153178592,0.41112715005874634,0.36,BREATH_OR_ROOM_SOUND,
