   0.00-   6.54  Computers process all information purely as numbers, but as humans, we input text and language.
   7.16-  11.84  When you type a prompt, how does the AI actually bridge that gap to read your words?
  12.44-  18.76  The system relies on a background process called tokenization, which breaks your text down into manageable chunks.
  19.44-  26.54  Without this invisible translation step, large language models would be completely incapable of processing or generating human language.
  26.54-  32.10  It is a common assumption that AI models simply memorize a massive dictionary of whole words,
  32.40-  36.56  but operating that way would require a highly inefficient amount of processing power.
  37.10-  40.16  Instead, the model relies on subword building blocks.
  40.74-  44.28  This graphic demonstrates the baseline rule using the word unbelievable.
  45.04-  52.50  Rather than memorizing it as one long item, the AI splits the word into three distinct pieces, un, belie, and vable.
  52.50-  58.02  These fragmented chunks are valuable because they can be reused across the model's entire vocabulary.
  58.72-  64.84  The un-piece is recycled to build completely different words, like unmatchable and unusual.
  65.62-  70.52  By recycling these small building blocks instead of storing every possible word in existence,
  71.20-  75.20  the AI radically reduces the processing power needed to handle human language.
  75.98-  78.94  Simply cutting a word into pieces isn't the final step.
  78.94-  83.94  To run its calculations, the AI must convert those text chunks into numbers.
  84.68-  91.20  When you read cat, you instantly picture the animal, but the tokenizer assigns a numerical identifier to that text.
  91.72-  95.66  Here, cat converts into 4719, a token ID.
  96.28- 101.30  That number identifies the token, but contains no meaning or understanding of what a cat is.
 101.70- 103.30  It's strictly a dictionary coordinate.
 103.30- 109.60  The actual deep understanding of the text happens much deeper inside the AI's vast neural network.
 110.26- 114.82  The text we type into an AI isn't limited to perfectly spelled dictionary words.
 115.52- 118.48  Prompts are filled with names, symbols, and irregular formatting.
 119.10- 122.96  This list demonstrates how different types of text yield different tulp and pounce.
 124.06- 131.00  Basketball splits into two obvious pieces, but a newer term like chat GPT fractures into three less intuitive chunks.
 131.62- 132.96  Tokenization is absolute.
 133.50- 137.96  Even an empty leading space or a heart emoji gets its own distinct numerical ID.
 138.76- 143.48  Pause the video for a second and guess how many tokens a complex string like a web address might generate.
 144.00- 149.32  If you look at row 5, you'll see the punctuation and domain structure shatter into eight unique identifiers.
 150.04- 157.58  Absolutely every keystroke, no matter how strange, must be mathematically mapped into an ID to exist in the AI's computational space.
 157.58- 162.86  We can trace the entire journey of a prompt by mapping it out here as a strict sequential pipeline.
 163.54- 165.68  This diagram shows the process in three phases.
 166.42- 167.82  Step 1, you type a message.
 168.38- 172.56  Step 2, the tokenizer intercepts that text and fractures it into reusable chunks.
 173.12- 176.80  Step 3, the system locates and outputs the final numerical token IDs.
 177.38- 182.18  This sequence is the invisible gateway for every prompt processed by modern AI models.
 182.78- 185.70  This brings us back to the familiar screen you use every day.
 185.70- 189.26  While this feels exactly like natural human communication,
 189.94- 194.92  the tokenization engine is relentlessly churning your text into numbers in the background to make it all work.
 195.54- 197.76  You use words. AI uses numbers.
 198.48- 203.62  This conversion is the essential first step that allows AI to process the complexity of human language.
