clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0020.02-breath_or_room_sound.wav,20.02,20.9,0.879999999999999,"Fermat,",exchanged,-18.93635882291768,0.6987502574920654,0.44,BREATH_OR_ROOM_SOUND,
02-0024.08-breath_or_room_sound.wav,24.08,24.62,0.5400000000000027,games.,That,-22.197988328190213,0.6827868223190308,0.5,BREATH_OR_ROOM_SOUND,
03-0011.24-breath_or_room_sound.wav,11.24,12.16,0.9199999999999999,mathematics.,The,-22.2727122044498,0.5540449619293213,0.84,BREATH_OR_ROOM_SOUND,
04-0138.54-breath_or_room_sound.wav,138.54,139.58,1.0400000000000205,possibilities.,When,-19.738838561738522,0.7612959742546082,0.34,BREATH_OR_ROOM_SOUND,
05-0113.70-breath_or_room_sound.wav,113.7,114.2,0.5,"heads,",any,-18.510567632657096,0.4042060971260071,0.26,BREATH_OR_ROOM_SOUND,
06-0220.68-breath_or_room_sound.wav,220.68,221.18,0.5,"numbers,",and,-19.1877502708604,0.7926288843154907,0.27,BREATH_OR_ROOM_SOUND,
07-0197.62-breath_or_room_sound.wav,197.62,197.96,0.3400000000000034,"words,",it,-18.980209425905247,0.6529825925827026,0.23,BREATH_OR_ROOM_SOUND,
08-0089.56-breath_or_room_sound.wav,89.56,89.92,0.35999999999999943,"Bays,",a,-19.469655500116477,0.6050896644592285,0.25,BREATH_OR_ROOM_SOUND,
09-0085.52-breath_or_room_sound.wav,85.52,85.8,0.28000000000000114,"fresh,",unseen,-19.63937408456691,0.20363257825374603,0.25,BREATH_OR_ROOM_SOUND,
10-0065.32-breath_or_room_sound.wav,65.32,65.76,0.44000000000001194,toss.,If,-23.55242146954009,0.6275953054428101,0.44,BREATH_OR_ROOM_SOUND,
11-0180.82-breath_or_room_sound.wav,180.82,181.6,0.7800000000000011,generation.,After,-25.532136425250908,0.21334514021873474,0.73,BREATH_OR_ROOM_SOUND,
12-0082.48-breath_or_room_sound.wav,82.48,82.92,0.4399999999999977,"However,",it,-16.024614849459574,0.11863777041435242,0.3,BREATH_OR_ROOM_SOUND,
