Priority,Lesson,Runtime,Grade,Coverage/20,Material/15,Teaches/15,Board/10,Clean/20,Pacing/20,Spine,Evidence
1,welcome,2:20,76,14,9,10,7,19,17,FAIL,"Narrates Luke/Nate in THIRD person (0:28); the 'better AI gets' paradox never appears; all 3 banned inventions present - apps-change 1:04, passenger/driver 1:40, 'progress depends on your curiosity' 1:57; says NotebookLM 1:50"
2,what-is-ai,3:45,79,15,12,9,8,18,17,PASS,4 deck-referential column walks ('Notice the hard limitation at the bottom of this column'); never states the naming convention the lesson sets
3,training-bias,3:40,80,17,13,12,9,12,17,PASS,NotebookLM watermark burned in on 112/146 frames from 0:00 (detector 0.995); style-prompt leakage lettered into art at 2:14
4,learn-with-ai,4:39,81,17,10,10,9,18,17,PASS,Says 'Notebook LM' throughout; lesson renamed to Gemini Notebook (f8f79e6). 4 deck-referential
5,opener-work,2:55,81,16,12,12,8,16,17,PASS,"Gibberish on the 0:08 annotated camera diagram, a content-carrying visual; 'deviled advocate' 1:52"
6,where-ai-works-best,4:18,82,17,10,11,9,18,17,PASS,MIS-TEACH 3:46: 'it will never produce the exceptional one'. The lesson deliberately hedges this claim
7,ai-is-math,4:26,83,18,12,11,8,18,16,PASS,"5 deck-referential, the most in the set; two different close boards at 4:07 and 4:22"
8,which-app,5:19,83,18,13,11,9,18,14,PASS,Most complete coverage in the catalogue but 5:19 is padded; heavy column-walking
9,why-learn-ai,3:44,83,17,13,10,8,18,17,PASS,3 deck-referential; drops 'better tomorrow'; ends on a line the lesson doesn't use
10,critical-thinking,3:26,85,17,13,12,9,17,17,PASS,Chocolate hoax 15 people/18 variables correct; 'you are obeying it' lands
11,opener-understand,3:03,85,17,13,11,9,18,17,PASS,4 deck-referential map walks ('the schematic then continues to step three')
12,art-of-prompting,4:05,86,18,13,11,9,18,17,PASS,Lesson's own examples throughout; 3 deck-referential
13,evaluate-the-results,4:12,86,18,13,11,9,18,17,PASS,Narration states Petronoski/LA correctly; the 0:28 BOARD contradicts it ('1932 winter athletic games')
14,questions-matter,3:24,86,17,13,12,9,18,17,PASS,Four qualities each explained with a why; low deck-referential
15,context-window,3:28,87,18,13,12,9,18,17,PASS,"Jeep/Raptor, five sources, forgetting problem all land; 'You are the architect'"
16,fake-trap,4:15,87,16,14,13,9,18,17,PASS,Covers only ONE jaw - believing the fake. Never covers dismissing the truth because it could be fake
17,flattery-trap,4:17,87,18,13,12,9,18,17,PASS,"Gatsby, RLHF cause, April 2025 sycophancy rollback all land; 4 deck-referential"
18,mind-trap,3:47,87,18,12,13,9,18,17,PASS,FACTUAL: calls Indiana University 'a much smaller one' (0:26); the lesson says only that its CLASSES are smaller
19,one-more-thing,4:38,87,18,13,13,9,18,16,PASS,"Weighted lottery, no memory, the arithmetic; 4:38 runs long"
20,opener-avoid,2:58,87,17,13,13,9,18,17,PASS,Rip current analogy carries the whole section; 'Every trap looks fine from the inside'
21,vector-space,2:37,87,17,13,13,9,18,17,PASS,"'Meaning is a position' lands; no kit boards on disk, content still reaches screen"
22,what-you-can-control,2:54,87,17,12,12,9,19,18,PASS,47s two-column hold fully narrated = free under dead-time rule; drops 'still' from the close
23,document-trap,4:34,88,18,14,13,9,18,16,PASS,"Says 'retrieval augmented generation, or RAG' in full at 2:55 - spine requirement met"
24,does-ai-think,3:39,88,18,13,11,9,19,18,PASS,Full Chinese Room + 5-row compare; 49s hold fully narrated. No kit boards on disk
25,engagement-trap,3:57,89,18,14,13,9,18,17,PASS,"29,032 ft, Raskin 2006, time-in-app; 'The exit has to be your call'"
26,layers,2:47,89,17,14,13,9,19,17,PASS,"Garden-path 3 reads, blank-box cliffhanger preserved; 'A few layers reach only shallow meaning'"
27,support-trap,4:19,89,18,14,13,9,18,17,PASS,"Sophie Rottenberg handled with restraint, no depiction; 'Be the person who stays'"
28,training,4:45,89,18,14,13,9,18,17,PASS,"Peanut-butter/jelly, basketball test at each phase, cookie-jar line; minimal deck-referential"
29,embeddings,3:27,90,18,14,13,9,18,18,PASS,"Student-ID analogy, the Pepsi collision, citrus fix; 'When the numbers change, the meaning changes'"
30,how-ai-answers,3:39,90,18,14,13,10,18,17,PASS,Only 10/10 board score in the catalogue; 'It is blind to anything beyond the next step'
31,tokens,3:31,90,18,14,12,9,19,18,PASS,Lesson's own 200k/256k and every split example; no kit boards on disk yet content fully lands
