# big-upside: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
EMBRACE THE FUTURE                       13.7s    6.8%     4.1%  +2.6
The Protein Folding Problem              39.1s   19.2%    27.8%  -8.5
The Fifty-Year Problem                   11.7s    5.8%     9.1%  -3.3
From Games to a Nobel Prize              33.4s   16.4%    12.4%  +4.0
They Gave the Answers Away               19.1s    9.4%     8.7%  +0.7
More of the Big Upside                   56.6s   27.9%    27.8%  +0.1
You Have an Answer Ready                  9.1s    4.5%     3.7%  +0.7
One More Thing About Demis               17.9s    8.8%     4.7%  +4.1
Closing Message                           2.5s    1.2%     1.8%  -0.5

unattributed narration: 14.8s (7% of runtime) - intros, transitions, or material not in the lesson
