id,section,lesson_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
"fb01","Start Smarter","whydeeper","Why does the course call this your advantage rather than your disadvantage?","Adults have a twenty-year head start, so there’s a clear path to copy","AI is new for everyone, so nobody has a twenty-year head start on you","Schools already teach AI, so you’ll pick it up in class","AI tools are free for students and expensive for everyone else","AI is new for everyone, so nobody has a twenty-year head start on you","The adults figuring out AI started about ten minutes before you did. Being early, with nothing to unlearn, is the whole edge."
"fb02","Start Smarter","llms","You skip the movie Netflix suggests and ask a chatbot for something better. What did the chatbot do that the recommender could not?","Searched more titles than Netflix carries","Remembered your viewing history, which recommendation AI can’t do","Composed something new from your situation instead of sliding to the next title on a list","Ranked the same options faster","Composed something new from your situation instead of sliding to the next title on a list","Recommendation AI chooses from what already exists and never makes anything new. Generative AI takes your situation and creates something that didn’t exist, and it stays in the conversation."
"fb03","Start Smarter","aihistory","“I’d like to buy peanut butter and ___” gives jelly a 41% chance. Add the word banana before the blank. What happens to jelly?","It holds near 41%, because peanut butter still dominates the sentence","It rises, because banana and jelly show up together often","It drops to 2%, because sandwich becomes the likely next word","It disappears from the list entirely","It drops to 2%, because sandwich becomes the likely next word","AI doesn’t make one guess. It scores every possible next word, and those numbers shift with the surrounding text. One word, banana, pushed jelly from 41% down to 2%."
"fb04","Start Smarter","doesaithink","In the Chinese Room, the person inside sends back answers that look perfect to the people outside. What’s the point?","With enough practice, matching symbols turns into real understanding","The answers look perfect and there’s no understanding behind them","The people outside are the ones who are confused","A big enough rulebook eventually becomes a mind","The answers look perfect and there’s no understanding behind them","The person matches symbols from a rulebook and knows no Chinese. That’s AI: it arranges symbols brilliantly and understands none of them."
"fb05","Start Smarter","control","Almost none of the big AI story is yours to steer. So why isn’t working on your own skill and judgment just a consolation prize?","It’s the only part of AI that will still matter in ten years","The big forces tend to sort themselves out on their own","It’s the one lever that actually tilts your odds, even when the big forces aren’t yours","Worrying about the big forces has never changed anyone’s outcome","It’s the one lever that actually tilts your odds, even when the big forces aren’t yours","Most of the noise around AI is the column you can’t touch. Most of the leverage in your life is the other one, and that column isn’t a feeling, it’s a to-do list."
"fb06","Start Smarter","whybother","If AI hands everyone a similar answer, what makes you more valuable?","Getting to the answer before your classmates do","Owning the better AI app","What you already know, because it shapes the question you ask and what you do with the answer","Writing longer prompts than everybody else","What you already know, because it shapes the question you ask and what you do with the answer","The answer itself isn’t the edge, since everyone can get one. Two skills carry the value, asking the right question and making the answer better, and both grow with what you know."
"fb07","Start Smarter","studying","You re-read your notes for an hour and feel ready for the test. Why is that a trap?","Re-reading is recognition, not recall, so generate a quiz and take it cold","Reading is slower than listening to an audio overview","You need at least three passes before anything sticks","Notes written by hand can’t be fed to a study tool","Re-reading is recognition, not recall, so generate a quiz and take it cold","Recognizing a page you just read isn’t the same as pulling it out of your head. Generate a quiz from your own sources, close everything, and take it blind."
"fb08","Work With AI","aivscode","You ask the same question twice. What does the split between normal software and AI look like?","Both change, because both were built from data","Normal software gives the same answer every time. AI’s answer will likely change","Normal software may vary. AI stays locked","Both stay identical, since both run on computers","Normal software gives the same answer every time. AI’s answer will likely change","Normal software runs on rules a person wrote, so same input, same output, and you can trace exactly why. AI is built from patterns in data, so it builds a fresh answer every time."
"fb09","Work With AI","whatitdoesbest","The course grades AI on its own work here: A+ for the code, C- for the first drafts of the lessons. Why the gap?","The code was shorter than the lessons","AI is weaker on long work than on short work","Writing code is all about patterns, and AI is a pattern-making machine. Strong lessons don’t follow a set pattern","The code got a better prompt","Writing code is all about patterns, and AI is a pattern-making machine. Strong lessons don’t follow a set pattern","AI is strongest when a job has one of four shapes. Code fits the pattern work it aces, and “can try” is not the same as “built for.”"
"fb10","Work With AI","modelselection","ChatGPT, Claude, Gemini. Which one should you use?","Claude, because it’s built for depth","Whichever ranks highest this month, and switch when the ranking changes","All three every time, so you always get three opinions","Any of the three. Pick one as your home base and learn it deeply","Any of the three. Pick one as your home base and learn it deeply","There’s no single best app, and what’s best today might not be best tomorrow. Knowing one app deeply beats dabbling in all three, and the skills transfer."
