clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0173.28-breath_or_room_sound.wav,173.28,174.3,1.0200000000000102,useless.,Processing,-21.078000159127107,0.3413872718811035,0.46,BREATH_OR_ROOM_SOUND,
02-0007.56-breath_or_room_sound.wav,7.56,8.12,0.5599999999999996,"jokes,",and,-17.831087128605315,1.109652042388916,0.27,BREATH_OR_ROOM_SOUND,
03-0037.88-breath_or_room_sound.wav,37.88,38.62,0.7399999999999949,"intelligence,",deliberately,-22.30065178015947,0.7770490646362305,0.41000000000000003,BREATH_OR_ROOM_SOUND,
04-0006.22-breath_or_room_sound.wav,6.22,6.94,0.7200000000000006,"topics,",it,-21.770839510634698,0.7906041741371155,0.34,BREATH_OR_ROOM_SOUND,
05-0001.72-breath_or_room_sound.wav,1.72,2.2,0.4800000000000002,"prompt,",and,-21.792386294638906,0.8283253908157349,0.23,BREATH_OR_ROOM_SOUND,
06-0046.58-breath_or_room_sound.wav,46.58,47.24,0.6600000000000037,Experiment.,Imagine,-27.997175845530435,0.3488442003726959,0.64,BREATH_OR_ROOM_SOUND,
07-0091.54-breath_or_room_sound.wav,91.54,92.38,0.8399999999999892,outside.,To,-23.70088099003098,0.28472650051116943,0.27,BREATH_OR_ROOM_SOUND,
08-0035.16-breath_or_room_sound.wav,35.16,35.74,0.5800000000000054,"mind,",the,-22.277853530116673,0.2141181230545044,0.19,BREATH_OR_ROOM_SOUND,
09-0025.24-breath_or_room_sound.wav,25.24,25.74,0.5,"intelligent,",solving,-23.950989684092892,0.5437663793563843,0.26,BREATH_OR_ROOM_SOUND,
10-0093.62-breath_or_room_sound.wav,93.62,94.18,0.5600000000000023,"outside,",the,-23.689628875276604,0.3819674849510193,0.2,BREATH_OR_ROOM_SOUND,
11-0087.72-breath_or_room_sound.wav,87.72,88.26,0.5400000000000063,"symbols,",they,-25.204248977395658,0.36984652280807495,0.25,BREATH_OR_ROOM_SOUND,
12-0084.60-breath_or_room_sound.wav,84.6,85.42,0.8200000000000074,comprehend.,Once,-23.64693671608693,0.16504332423210144,0.34,BREATH_OR_ROOM_SOUND,
