clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0163.34-breath_or_room_sound.wav,163.34,163.58,0.2400000000000091,"evidence,",the,-14.060296852089287,1.2996177673339844,0.14,BREATH_OR_ROOM_SOUND,
02-0058.62-breath_or_room_sound.wav,58.62,58.9,0.28000000000000114,"headline,",Slim,-18.032611941045204,0.7996034622192383,0.19,BREATH_OR_ROOM_SOUND,
03-0173.78-breath_or_room_sound.wav,173.78,174.42,0.6399999999999864,more.,These,-19.29800212037484,1.0762670040130615,0.23,BREATH_OR_ROOM_SOUND,
04-0160.44-breath_or_room_sound.wav,160.44,161.12,0.6800000000000068,convinced?,Determine,-19.276316557708256,0.6789321303367615,0.12,BREATH_OR_ROOM_SOUND,
05-0027.94-breath_or_room_sound.wav,27.94,28.12,0.17999999999999972,"evidence,",and,-20.07060376929775,0.5432920455932617,0.12,BREATH_OR_ROOM_SOUND,
06-0026.56-breath_or_room_sound.wav,26.56,27.0,0.4400000000000013,"claim,",examine,-21.182800941624905,0.2283899188041687,0.12,BREATH_OR_ROOM_SOUND,
07-0157.66-breath_or_room_sound.wav,157.66,158.38,0.7199999999999989,explanations.,Habit,-22.063105238329914,1.1603667736053467,0.16,BREATH_OR_ROOM_SOUND,
08-0131.38-blip_candidate.wav,131.38,132.04,0.6599999999999966,thinking.,Every,-21.863097823424546,0.2237110286951065,0.08,BLIP_CANDIDATE,
09-0073.34-breath_or_room_sound.wav,73.34,73.78,0.4399999999999977,"pause,",especially,-22.840155019009927,0.6634616851806641,0.11,BREATH_OR_ROOM_SOUND,
10-0109.14-breath_or_room_sound.wav,109.14,109.74,0.5999999999999943,journalist.,He,-22.464246400544727,0.4539337456226349,0.09,BREATH_OR_ROOM_SOUND,
11-0049.00-breath_or_room_sound.wav,49.0,49.56,0.5600000000000023,"2015,",news,-14.769860211501282,0.08863714337348938,0.26,BREATH_OR_ROOM_SOUND,
12-0134.50-breath_or_room_sound.wav,134.5,135.18,0.6800000000000068,question.,Habit,-20.54600265066787,0.17734423279762268,0.1,BREATH_OR_ROOM_SOUND,
13-0188.64-blip_candidate.wav,188.64,189.22,0.5800000000000125,happening.,AI,-22.133624645682076,0.2713829576969147,0.06,BLIP_CANDIDATE,
14-0181.60-breath_or_room_sound.wav,181.6,182.26,0.6599999999999966,intelligence.,AI,-22.914927393410483,0.6660381555557251,0.09,BREATH_OR_ROOM_SOUND,
15-0091.36-breath_or_room_sound.wav,91.36,91.78,0.4200000000000017,"participants,",but,-22.960504466271587,1.0323576927185059,0.09,BREATH_OR_ROOM_SOUND,
16-0062.64-breath_or_room_sound.wav,62.64,63.2,0.5600000000000023,immediate.,Sounds,-23.81630289924599,1.011920690536499,0.12,BREATH_OR_ROOM_SOUND,
17-0037.82-breath_or_room_sound.wav,37.82,38.46,0.6400000000000006,decisions.,Be,-24.163843310230774,0.8140326142311096,0.13,BREATH_OR_ROOM_SOUND,
18-0034.54-breath_or_room_sound.wav,34.54,34.96,0.4200000000000017,"halves,",the,-24.580346761274235,0.5630402565002441,0.11,BREATH_OR_ROOM_SOUND,
19-0192.60-breath_or_room_sound.wav,192.6,192.96,0.36000000000001364,"in,",sharper,-24.4657893073221,0.42922243475914,0.09,BREATH_OR_ROOM_SOUND,
20-0011.46-breath_or_room_sound.wav,11.46,12.14,0.6799999999999997,results.,Look,-26.07035373352149,0.5077589154243469,0.14,BREATH_OR_ROOM_SOUND,
21-0032.22-blip_candidate.wav,32.22,32.94,0.7199999999999989,next.,When,-25.490494820242663,0.34612607955932617,0.06,BLIP_CANDIDATE,
22-0151.16-breath_or_room_sound.wav,151.16,151.84,0.6800000000000068,learn.,Habit,-19.137466767874617,0.11831757426261902,0.14,BREATH_OR_ROOM_SOUND,
23-0101.24-blip_candidate.wav,101.24,102.06,0.8200000000000074,discovery.,The,-24.40882991026692,0.1749017834663391,0.08,BLIP_CANDIDATE,
24-0145.56-blip_candidate.wav,145.56,146.02,0.46000000000000796,judge?,You,-29.024545892642234,0.30754104256629944,0.06,BLIP_CANDIDATE,
25-0122.34-blip_candidate.wav,122.34,122.78,0.4399999999999977,"lines,",particularly,-28.93147784752003,0.6652994155883789,0.05,BLIP_CANDIDATE,
26-0126.64-blip_candidate.wav,126.64,127.76,1.1200000000000045,bias.,This,-29.236548753155724,0.8067127466201782,0.05,BLIP_CANDIDATE,
27-0106.98-blip_candidate.wav,106.98,107.7,0.7199999999999989,website.,The,-29.529186802960936,0.26284468173980713,0.06,BLIP_CANDIDATE,
28-0013.16-breath_or_room_sound.wav,13.16,13.6,0.4399999999999995,side.,Knowledge,-19.258549475126873,0.07239758968353271,0.08,BREATH_OR_ROOM_SOUND,
