Manual teaching-beat map; source times, approximate narration transitions.
0:00–0:25  Words in/out; translation question
0:25–0:43  Whole-word dictionary fails
0:43–1:27  Reusable pieces, whole words/fragments, concrete reuse
1:27–1:40  Abstract repeat (cut candidate)
1:40–2:15  Setup, vocabulary sizes, token IDs
2:15–2:34  Hit Send: split and look up IDs
2:34–3:00  Cat ID is identification, not meaning
3:00–3:10  Neural-network detour (cut candidate)
3:10–3:33  ChatGPT, spaces, URL examples
3:33–3:44  Repeated input summary (cut candidate)
3:44–4:02  Output IDs back to text
4:02–4:07  Exact lesson close
4:07–4:10  Engine outro
