# training-bias: where the video spends its time vs where the lesson spends its words.
# Pacing scores ALLOCATION, not runtime. Big gaps in the last column are the
# signal: a beat the lesson weights heavily that the video rushes, or vice versa.
# Crude keyword matching - treat as evidence, not a verdict.

lesson section                           video  video%  lesson%    gap
AVOID TRAPS                              54.2s   26.1%    18.3%  +7.9
Cows on the beach                        34.7s   16.7%    15.4%  +1.3
How Training Bias gets in                76.0s   36.7%    31.2%  +5.5
Stale information                         0.0s    0.0%     5.7%  -5.7
You                                       2.9s    1.4%     2.9%  -1.5
Claude                                   25.0s   12.0%    16.5%  -4.5
What happens                              4.8s    2.3%     3.9%  -1.6
The fix                                   9.8s    4.7%     6.1%  -1.4

unattributed narration: 12.2s (6% of runtime) - intros, transitions, or material not in the lesson
