lesson title,box title,suggested treatment
Avoid Traps Opener,The Traps Ahead,"Opener utility — keep the existing creed treatment; no Editorial Explainer conversion."
Avoid Traps Opener,Read the Water,"Full-Length Teaching Illustration — keep; the rip-current scene teaches the section metaphor. Apply the standard outer shell and deterministic title treatment when rebuilt."
Avoid Traps Opener,Avoid Traps: In This Section,"Opener utility — keep the existing standardized section-map board unchanged."
Hallucination,Why Hallucinations Happen,"Editorial Explainer: Flow — use a three-across Cause → Cause → Result sequence: Pattern Training, Next-Word Prediction, then Probable ≠ True. Restore “A likely sentence can still be false” as the gold-band takeaway."
Hallucination,Probable Isn't Always True,"Full-Length Teaching Illustration — keep; the joke-source-to-confident-glue-answer scene demonstrates the failure mechanism. Rebuild inside the standard shell."
Hallucination,What Counts as a Hallucination?,"Editorial Explainer: Four-Card Full-Bleed — four parallel hallucination types with equal weight."
Hallucination,Retrieval-Augmented Generation: Why It Helps and Why It Isn't Enough,"Editorial Explainer: Three-Card Full-Bleed — three parallel qualifications: helps, does not cover every answer, and can still fail."
Hallucination,Build the Dino Game,"Keep as a page-native LAB; exclude from the board retrofit."
Training Bias,Wrong Pattern. Wrong Answer.,"Full-Length Teaching Illustration — keep; the cow-on-grass versus cow-on-beach scene makes the learned-shortcut mechanism visible. Rebuild inside the standard shell."
Training Bias,How Training Bias Gets In,"Editorial Explainer: Three-Card Full-Bleed — Defaults, Blind Spots, and Wrong Patterns are three parallel mechanisms."
Training Bias,Three Questions That Crack the Picture Open,"Editorial Explainer: Three-Card Full-Bleed — three parallel corrective moves."
Training Bias,Stale Information,"Editorial Explainer: AI Chat — show the original stale answer, the user's search-and-date instruction, and the corrected answer as one four-turn teaching conversation."
Training Bias,Crack the Picture Open,"Keep as a page-native LAB; exclude from the board retrofit."
Document Trap,What Happens When AI Searches a Long Document,"Editorial Explainer: Flow — Chunk, Embed, and Retrieve are an ordered process whose handoff is the lesson."
Document Trap,Uploaded Isn't Fully Read,"Full-Length Teaching Illustration — keep; the selected five-foul pages and overlooked six-foul exception make incomplete retrieval concrete. Rebuild inside the standard shell."
Document Trap,Four Moves for Better Retrieval,"Editorial Explainer: Four-Card Full-Bleed — four parallel practices with equal instructional weight."
Document Trap,Pick the Better Move,"Keep as a page-native TRY IT; exclude from the board retrofit."
Mind Trap,Should I Go to Michigan or Indiana?,"Editorial Shell: Structured Comparison — preserve the scenario, human-advice versus AI-advice evidence, and What Happened findings; use Nate and Luke teaching art in the approved realistic editorial style."
Mind Trap,Human-Sounding. Not Human.,"Delete from the live lesson — the full-length illustration adds no teaching relationship beyond the advice comparison and Why AI Feels Like Somebody board. Retain the source file only as a production archive."
Mind Trap,Why AI Feels Like Somebody,"Editorial Explainer: Two-Card Full-Bleed — Your Brain Looks for Minds and AI Sets It Off Harder are the two linked explanations."
Mind Trap,Who Makes the Call?,"Keep as a page-native TRY IT; exclude from the board retrofit."
Flattery Trap,The Flattery Trap vs. What You Needed,"Editorial Shell: Structured Comparison — preserve the scenario, response evidence, and What Happened findings; use Nate and Luke teaching art in the approved realistic editorial style."
Flattery Trap,Praise Feels Good. Feedback Makes It Better.,"Delete from the live lesson — absorb its teaching contrast into the response-comparison box through the mini-illustration treatment instead of keeping a second full-length visual. Retain the source file while the existing video motion-path configuration depends on it."
Flattery Trap,How the Praise Got Baked In,"Editorial Explainer: Flow — People Rank Answers, Support Often Wins, and The Numbers Move form an ordered causal process."
Flattery Trap,The Industry Named It: ChatGPT's Sycophantic Response,"Editorial Shell — preserve the exact response as a worked evidence frame with the standard title, outer background, white surface, and padding."
Flattery Trap,Five Moves Against Flattery,"Editorial Shell — preserve the bespoke numbered-row structure and Weak versus Better prompt pairs; the content is too evidence-rich for a standard card board."
Flattery Trap,Make Yours Blunt,"Keep as a page-native LAB; exclude from the board retrofit."
Engagement Trap,You End the Conversation vs. The Engagement Trap,"Editorial Shell: Structured Comparison — preserve the branched chat comparison, elapsed-time consequence, and What Happened findings; use Nate and Luke teaching art in the approved realistic editorial style."
Engagement Trap,AI Won't Quit for You,"Full-Length Teaching Illustration — keep; the endless reply ribbon, stop lever, and hourglass demonstrate the missing stopping point. Rebuild inside the standard shell."
Engagement Trap,One App One Year,"Keep as a page-native TRY IT; exclude from the board retrofit."
Support Trap,Your Older Sister vs. AI,"Editorial Shell: Structured Comparison — preserve the scenario and evidence-rich distinction between supportive words and support that changes what happens next; use Nate and Luke teaching art in the approved realistic editorial style."
Support Trap,Use AI to Get Ready for People Not Instead of People,"Editorial Explainer: Two-Card Full-Bleed — What Can Be Real and What Is Missing form a direct two-part distinction."
Support Trap,If Someone May Be in Immediate Danger,"Editorial Shell — preserve as a single high-priority safety-alert utility rather than forcing it into a card format."
Support Trap,How Does AI Fit Into Each of These?,"Keep as a page-native TRY IT; exclude from the board retrofit."
Fake Trap,Same Clip Two Tests,"Editorial Shell: Structured Comparison — preserve the scenario, two evidence-rich tests, and their different verdicts; use Nate teaching art in the approved realistic editorial style."
Fake Trap,Check the Source Not the Pixels,"Full-Length Teaching Illustration — keep; Luke and Nate visibly move the test from the image to independent sources. Rebuild inside the standard shell and place it with the verification beat."
Fake Trap,Why Some Fakes Aren't Friendly,"Editorial Explainer: Four-Card Full-Bleed — Money, Power, Fame, and Cruelty are four parallel motives."
Fake Trap,Move the Test Off the Image,"Editorial Explainer: Three-Card Full-Bleed — Source, Context, and Corroboration are three parallel checks."
Fake Trap,Believe It Check It or Call It Fake?,"Keep as a page-native TRY IT; exclude from the board retrofit."
