part,lesson_id,lesson_label,function,approx_line,context,descriptor,construction,nearest_component,source
Start Smarter,welcome,Welcome,WelcomeSection,2723,,HOW LESSONS WORK,card grid (auto-fit),,grep
Start Smarter,whydeeper,Why Learn AI?,WhyDeeperSection,2786,,AI is hiding in apps you use every day,card grid (auto-fit),,grep
Start Smarter,aihistory,What Is AI?,AIHistorySection,1522,lesson flow,Peanut butter and __ -> jelly,tinted band w/ colored pill backgrounds,ShowcaseBox,agent
Start Smarter,aihistory,What Is AI?,AIHistorySection,1541,lesson flow,"Same word, different odds",tinted band w/ grid of white cards,ShowcaseBox,agent
Start Smarter,llms,Meet the Tool,WatchTonightSeeIt,1691,activity interior of Watch Tonight SEE IT,Netflix watch-tonight demo cards,fixed-column grid,,grep
Start Smarter,llms,Meet the Tool,LLMsSection,1736,lesson flow,Two kinds of AI split panel,tinted band w/ flexed colored cards,ShowcaseBox,agent
Start Smarter,studying,Study with AI,StudyingWithAISection,8899,lesson flow,General Tutor vs Source-grounded Tutor,tinted grid with two cards,CompareBox,agent
Start Smarter,studying,Study with AI,StudyingWithAISection,8936,lesson flow,NotebookLM workflow flow,tinted three-column flow grid,none,agent
Understand AI,howwegothere,How We Got Here,HowWeGotHereSection,2228,,ChatGPT Launches,lavender band,,grep
Understand AI,aivscode,Rules vs Patterns,AIvsCodeSection,3460,,Fixed Rules vs. Built From Patterns,fixed-column grid,,grep
Understand AI,norules,Harder to Control,BlackBoxSection,3629,lesson flow,You'll see stories like this,grid of white cards w/ icons,ShowcaseBox,agent
Understand AI,data,Mess to Meaning,DataSection,3714,,Learns from messy data,fixed-column grid,,grep
Understand AI,aiismath,AI is Math,AIIsMathSection,1947,,The setup,fixed-column grid,,grep
Understand AI,aiismath,AI is Math,AIIsMathSection,2171,,Autoregressive Generation,lavender band,,grep
Understand AI,aiismath,AI is Math,AIIsMathSection,2186,,Autoregressive Generation,gradient band,,grep
Understand AI,tokens,Tokens,TokenSection,4769,lesson flow,Here's how text is split into tokens,tinted band w/ token table,ShowcaseBox,agent
Understand AI,embeddings,Embeddings,EmbeddingsSection,4919,lesson flow,Taste Profile Coke vs Black Coffee,hand-built comparison grid,none,agent
Understand AI,embeddings,Embeddings: Meaning as Numbers,EmbeddingsSection,4983,,DO WE NEED MORE DIMENSIONS?,lavender band,,grep
Understand AI,vectorspace,Vector Space,VectorSpaceSection,5014,lesson flow,Taste Profile Coke vs Pepsi vs Black Coffee,hand-built comparison grid,none,agent
Understand AI,attention,Attention,HowAIReadsSection,3832,lesson flow,Three situations where meaning is unclear,tinted band w/ three colored interior cards,none,agent
Understand AI,attention,Attention,HowAIReadsSection,3875,lesson flow,How AI used to read,light blue band w/ word tokens in grid,none,agent
Understand AI,attention,Attention,HowAIReadsSection,3974,,THE BREAKTHROUGH,card grid (auto-fit),,grep
Understand AI,attention,Attention,HowAIReadsSection,4090,lesson flow,attention walkthrough band,lavender band,,grep
Understand AI,training,Training,TrainingSection,4471,,HOW LLMS TRAIN,lavender band,,grep
Understand AI,training,Training,TrainingSection,4485,,HOW LLMS TRAIN,lavender band,,grep
Understand AI,prompt,Context Window,PromptSection,5939,,CONTEXT WINDOW SIZE,card grid (auto-fit),,grep
Understand AI,inference,Inference: From Prompt to Output,InferenceSection,5532,,Same model. Different context. Every token changes.,fixed-column grid,,grep
Understand AI,inference,Inference: From Prompt to Output,InferenceSection,5547,,Same model. Different context. Every token changes.,fixed-column grid,,grep
