slug,runtime,cov20,mat15,teach15,board10,clean20,pace20,total,topband,lever
what-you-can-control,2:54,17,11,12,9,17,17,83,NO,"RE-ROLL for register (first 45s written for a think-tank, not 16-year-olds) + verbatim 'skill and judgment' close. REPAIR available: pull moves board ~10s earlier to kill the 1:30-1:42 dwell"
opener-understand,3:04,17,13,11,9,17,17,84,NO,"RE-ROLL: map walk points at rows instead of explaining the order; item 4 starved (9s) + its payoff line unsaid. NOTE: clean 16->17 (strobe repair landed, and grader correctly declined to deduct the pan). Teaching sub-scores moved -3 on UNCHANGED narration = cross-sitting drift; top-band flipped YES->NO"
opener-avoid,2:58,17,11,11,10,17,16,82,NO,"RE-ROLL: lesson's closing beat (rip current isn't the ocean malfunctioning + head-start framing) must be a named closing scene. Board content now 10/10 - the real map board I patched in is walked properly"
hallucination,4:13,17,13,11,10,15,16,82,NO,"RE-ROLL: 2:11-2:17 'completely blind to sarcasm' inverts the lesson. Remaining cleanliness = the 3 gibberish props I declined to patch (2:20 journal, 3:48 diagram labels, 2:08 code sheet)"
how-an-llm-works,2:58,16,12,11,9,16,17,81,NO,"RE-ROLL: three myths required verbatim + keep peanut-butter as the Patterns example. REPAIR available: re-frame clipped board pans 0:56-1:04 and 2:04-2:16"
learn-with-ai,4:33,16,11,11,10,16,16,80,NO,"RE-ROLL: Gemini Notebook column taught FIRST (lesson order) + ban academic register. Board content now 10/10. REPAIR: re-frame 1:28-1:40 so the CATCH paragraph is in frame"
tokens,3:34,17,12,12,9,16,17,83,NO,"REPAIR the 1:34-1:42 chart title+Gemini value. NOTE: grader checked it against Trap 1 and still called 240,000 final - but I verified at 1:42 it settles on 256,000, so the value is right and only the invented title is wrong"
ai-is-different,5:05,15,11,11,8,16,17,78,NO,"RE-ROLL: Kryptonite section + 'millions of learned numbers' + guardrails-arent-perfect caveat. Trim landed (clean 14->16, pace 15->17) and grader correctly declined the collision claim. NEW find: ~86-cut strobe burst 0:08.5-0:13.9 the first pass missed"
training-bias,3:48,17,13,12,10,16,17,85,NO,"REPAIR the lorem-ipsum screen 2:40-2:45 (NEW find). My whiteboard patch landed: clean 14->16, board content now 10/10, grader correctly declined the interleave as Trap 2"
where-ai-works-best,4:18,17,11,12,10,16,15,81,NO,"REPAIR: trim ~20s of no-teaching mood spans + masked-restore the lorem-ipsum C- draft 0:56-1:12. My code patch landed (clean 15->16). Invented absolutism 3:40-3:49 is re-roll-only"
why-learn-ai,3:44,16,12,12,8,16,15,79,NO,"MY REPAIR WAS NET-NEUTRAL: killed the invented triangle (good) but left a 19s static document cover = ~15s dead time at the quote. Pacing 16->15 cancelled the cleanliness gain. Correct fix is the ORIGINAL rec: compose the actual pull-quote card over 3:20-3:36"
training,4:48,17,13,12,10,17,17,86,NO,"REPAIR 3:01-3:07 invented 4-step whiteboard that contradicts the lessons instruction-tuned answer (NEW find). My RANKINGS patch landed: clean 15->17, board content 9->10. Grader says NOT worth a re-roll - 6/6 kit boards display verbatim"
vector-space,2:38,18,14,13,9,18,18,90,NO,"My Same-Meaning patch landed: clean 17->18, material 13->14, teaching 12->13. RE-ROLL only for the two cross-lesson callbacks (blank box from Layers, taste test from Embeddings) - low ROI vs a strong incumbent. Cheap REPAIR: reframe 1:21-1:27 so the cat pill sits in frame"
welcome,2:21,16,11,11,8,17,17,80,NO,"NOT last in the catalog after all. Clean 14->17 once the false 'corrupted board' deduction was dropped - grader explicitly cleared it as a mid-pan sample (Trap 1). RE-ROLL still wanted: first-person 'We are Luke and Nate' voice + the hockey-jersey line; narration voice cannot be repaired"
