Tier,Lesson,Board,Start,End,Hold (s),Already on page?,Action,Notes,Decision
1,tokens,"Human vs AI on the word ""cat"" — HUMAN ""Instant Understanding"" (soft fur, whiskers, sits on your keyboard) vs AI ""Just a Number"" (cat -> 9246, a number, not meaning yet)",1:55,2:21,26,Yes — tokens.md L96-115,Capture,Lesson has 0 kit boards,
1,tokens,"Numbered token-split table — unbelievable > un|believ|able; basketball > basket|ball; ChatGPT > Chat|G|PT; ""I love AI""; URL split into 7",2:34,3:12,38,Yes — tokens.md L117+,Capture,Lesson has 0 kit boards,
1,does-ai-think,"""When you think vs. what AI does"" — 5 rows: understand what words mean / matches patterns; draw on real experience / only reads about the world; choose words to make a point / predicts the next likely word; feel when something is beautiful / echoes what others call beautiful; know when you are unsure / cannot tell when it is making things up",2:36,3:25,49,Yes — does-ai-think.md L28-50,Capture,"Longest hold in the sweep; why-carrying rows, the shape that took layers 10->13/15",
1,does-ai-think,"""Inside the giant rulebook"" — IF YOU SEE / THE MOST LIKELY NEXT SYMBOL IS, then ""Match the shape. Send back the likely reply. Understand nothing.""",1:42,1:59,17,Partial — Chinese Room in prose L13,Build,Engine staged the prose as a table,
1,vector-space,"""airplane"" in two sentences — folded a paper airplane / NEARBY paper, fold, toy, glide  vs  roared down the runway / NEARBY jet, runway, pilot, flight",1:43,2:11,28,Yes — vector-space.md L149+,Capture,Lesson has 0 kit boards,
2,embeddings,"Embedding Table — token ID 9246 looks up its row of numbers, labelled Embedding Vector",2:31,2:41,10,"No — prose describes it, L161",Build,,
2,flattery-trap,"""The standing instruction"" — Be blunt with me. Lead with what is weak, skip the empty praise, and tell me when I am wrong.",3:38,3:47,9,"No — copy is verbatim, L139",Build,Check against flattery-trap-4-guardrail first,
2,flattery-trap,"Supportive Assistant — THOUGHTS > INSIGHTFUL, OPINIONS > CORRECT, DRAFTS > STRONG",0:07,0:12,5,No,Build,,
2,flattery-trap,"Internal Weights pulled toward Agreeable Responses, away from Accurate Critique",1:44,1:54,10,"No — the RLHF passage, L45",Build,,
2,layers,"Layer Unit — Attention and Transformation drawn as one unit, not two steps",1:06,1:11,5,No,Build,,
2,ai-is-math,"""Update With New Evidence"" — crosses out ruled-out outcomes, recounts, lands ""the evidence moved the probability from 25% to 50%. That update is conditional probability.""",2:07,2:27,20,No,Build,Compare with existing ai-is-math-1-update before building,
2,ai-is-math,"""List Possible Outcomes"" + ""The Math"" — worked formula, two states (1 coin 50%, 2 coins 25%)",0:36,0:52,16,No,Build,Second state at 1:12-1:31,
2,evaluate-the-results,Verified Fact vs Hallucination — two assistant cards side by side,0:28,0:38,10,No,Build,FACTUAL: board says 1932 winter athletic games; lesson says 1932 Olympics in Athens and that the Games were in LA,
2,context-window,"What is OUTSIDE the window — older chats, web pages you did not send, notes on your computer, other apps and tabs",1:00,2:36,96,No,Build,Kit 2-five-sources covers what is IN; this is the missing half,
3,art-of-prompting,Three moves recapped over an effort scale (Quick Facts > Real Work > Major Projects),3:26,3:42,16,No,Optional,,
3,critical-thinking,Claim > Context / Evidence > Truth,1:15,1:24,9,No,Optional,,
3,training,AI Output — Fluency 100% / Factual Accuracy ?,4:09,4:16,7,No,Optional,"Engine's framing, not in the lesson",
3,training,Frozen Core Model with Personal Files and Live Web Search around it,4:39,4:45,6,No,Optional,,
3,opener-work,1 Know What It's For / 2 Use It Well / 3 Think Before You Trust,2:03,2:08,5,No,Optional,,
3,where-ai-works-best,Facts + Constraints > Goal > Answer,2:48,3:01,13,No,Optional,,
3,why-learn-ai,Idea vs Execution,2:42,2:53,11,No,Optional,,
3,embeddings,"Word / Token ID (cat 9246, dog 1053)",0:24,0:33,9,No,Optional,,
3,mind-trap,U of Michigan (Massive State School) vs Indiana University (Small College),0:15,0:28,13,No,Optional,FACTUAL: Indiana University is not a small college,
